BIN6,Ranges,Issuer,Country,Brand,Type
160700,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160701,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160702,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160703,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160704,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160705,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160706,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160707,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160708,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160709,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160710,00-99,Etihad Airways,AE,uatp,credit
160711,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160712,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160713,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160714,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160715,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160716,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160717,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160718,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160719,00-99,Etihad Airways,AE,uatp,credit
160720,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160721,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160722,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160723,00-99,Etihad Airways,AE,uatp,credit
160724,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160725,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160726,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160727,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160728,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160729,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160730,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160731,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160732,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160733,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160734,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160735,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160736,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160737,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160738,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160739,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160740,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160741,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160742,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160743,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160744,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160745,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160746,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160747,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160748,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160749,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160750,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160751,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160752,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160753,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160754,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160755,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160756,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160757,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160758,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160759,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160760,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160761,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160762,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160763,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160764,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160765,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160766,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160767,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160768,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160769,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160770,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160771,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160772,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160773,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160774,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160775,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160776,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160777,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160778,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160779,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160780,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160781,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160782,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160783,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160784,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160785,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160786,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160787,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160788,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160789,00-99,Etihad Airways,AE,uatp,credit
160790,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160791,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160792,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160793,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160794,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160795,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160796,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160797,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160798,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
160799,00-99,ETIHAD AIRWAYS (EY),AE,uatp,credit
161087,00-99,SAIGONBANK,VN,private label,debit
161100,00-99,EASYPAY,US,uatp,credit
161101,00-99,EASYPAY,US,uatp,credit
161102,00-99,EASYPAY,US,uatp,credit
161103,00-99,EASYPAY,US,uatp,credit
161104,00-99,EASYPAY,US,uatp,credit
161105,00-99,EASYPAY,US,uatp,credit
161106,00-99,EASYPAY,US,uatp,credit
161107,00-99,EASYPAY,US,uatp,credit
161108,00-99,EASYPAY,US,uatp,credit
161109,00-99,EASYPAY,US,uatp,credit
161110,00-99,EASYPAY,US,uatp,credit
161111,00-99,EASYPAY,US,uatp,credit
161112,00-99,EASYPAY,US,uatp,credit
161113,00-99,EASYPAY,US,uatp,credit
161114,00-99,EASYPAY,US,uatp,credit
161115,00-99,EASYPAY,US,uatp,credit
161116,00-99,EASYPAY,US,uatp,credit
161117,00-99,EASYPAY,US,uatp,credit
161118,00-99,EASYPAY,US,uatp,credit
