BIN6,Ranges,Issuer,Country,Brand,Type
490000,00-99,VISA PRODUCTION SUPPORT CLIENT BID 1,AU,visa,credit
490001,00-99,BANK OF OKLAHOMA,US,visa,debit
490002,00-99,VISA PRODUCTION SUPPORT CLIENT BID 1,US,visa,credit
490003,00-99,BOK FINANCIAL,US,visa,debit
490004,00-99,YNB,US,visa,debit
490005,00-99,BANK OF OKLAHOMA,US,visa,credit
490006,00-99,BOK FINANCIAL,US,visa,debit
490007,00-99,BANK OF OKLAHOMA,US,visa,debit
490008,00-99,MVB BANK INC,US,visa,debit
490009,00-99,BOK FINANCIAL,US,visa,debit
490010,00-99,BANK OF OKLAHOMA,US,visa,debit
490011,00-99,BC CARD COMPANY LTD.,KR,visa,credit
490012,00-99,BC CARD COMPANY LTD.,KR,visa,credit
490013,00-99,TECNICARD INC.,NI,visa,debit
490014,00-99,TECNICARD INC.,NI,visa,debit
490015,00-99,ICICI BANK LTD.,IN,visa,debit
490016,00-99,ICICI BANK LTD.,IN,visa,debit
490017,00-99,VIETBANK,VN,visa,debit
490018,00-99,LB FINANCE PLC,LK,visa,debit
490019,00-99,THE FIRST NATIONAL BANK OF ELY,US,visa,debit
490020,00-99,WOORI CARD CO. LTD.,KR,visa,credit
490021,00-99,BANK OF OKLAHOMA,US,visa,debit
490022,00-99,SYNERGY BANK,US,visa,debit
490023,00-99,LOCALITY BANK,US,visa,debit
490024,00-99,MINDEN EXCHANGE BANK & TRUST COMPANY,US,visa,debit
490025,00-99,MYPOINT CREDIT UNION,US,visa,debit
490026,00-99,BC CARD CO. LTD.,IN,visa,credit
490027,00-99,BC CARD CO. LTD.,IN,visa,credit
490028,00-99,POSTCITY FINANCIAL CREDIT UNION,US,visa,credit
490029,00-99,BANK OF OKLAHOMA,US,visa,debit
490030,00-99,BC CARD CO. LTD.,IN,visa,credit
490031,00-99,BANK OF OKLAHOMA,US,visa,debit
490032,00-99,HERITAGE FEDERAL CREDIT UNION,US,visa,debit
490033,00-99,CLASSIC BANK NATIONAL ASSOCIATION,US,visa,debit
490034,00-99,BANK OF OKLAHOMA,US,visa,debit
490035,00-99,BANK OF OKLAHOMA,US,visa,debit
490036,00-99,NORTH CAROLINA COMMUNITY FEDERAL CREDIT UNION,US,visa,credit
490037,00-99,FIRST-CITIZENS BANK,US,visa,debit
490038,00-99,BANK OF OKLAHOMA,US,visa,debit
490039,00-99,BEAR PAW CREDIT UNION,US,visa,debit
490040,00-99,VALLEY FIRST CREDIT UNION,US,visa,debit
490041,00-99,BETHPAGE FEDERAL CREDIT UNION,US,visa,credit
490042,00-99,WOODTRUST BANK,US,visa,debit
490043,00-99,BANK OF OKLAHOMA,US,visa,debit
490044,00-99,HYDE PARK BANK AND TRUST COMPANY,US,visa,debit
490045,00-99,FIRST BUSINESS BANK,US,visa,debit
490046,00-99,BANK OF OKLAHOMA,US,visa,debit
490047,00-99,Jpmorgan Chase Bank Na,US,visa,credit
490048,00-99,CENTRAL NATIONAL BANK,US,visa,debit
490049,00-99,CITIZENS STATE BANK OF ROSEAU,US,visa,debit
490050,00-99,Bnp Paribas Fortis,BE,visa,credit
490051,00-99,TRI-COUNTY BANK & TRUST COMPANY,US,visa,debit
490052,00-99,BANK OF OKLAHOMA,US,visa,debit
490053,00-99,BANK OF OKLAHOMA,US,visa,debit
490054,00-99,FARMERS STATE BANK,US,visa,debit
490055,00-99,PARTNERS BANK,US,visa,debit
490056,00-99,BAYLAKE,US,visa,debit
490057,00-99,CASEBINE COMMUNITY CREDIT UNION,US,visa,debit
490058,00-99,AIM CREDIT UNION,US,visa,debit
490059,00-99,BANK OF OKLAHOMA,US,visa,debit
490060,00-99,PREFERRED CREDIT UNION,US,visa,debit
490061,00-99,NEIGHBORHOOD TRUST FEDERAL CREDIT UNION,US,visa,credit
490062,00-99,NEIGHBORHOOD TRUST FEDERAL CREDIT UNION,US,visa,debit
490063,00-99,ADVANTAGE CREDIT UNION,US,visa,debit
490064,00-99,ABNB FEDERAL CREDIT UNION,US,visa,debit
490065,00-99,PEOPLES BANK,US,visa,debit
490066,00-99,Jpmorgan Chase Bank Na,US,visa,debit
490067,00-99,NORTHWEST FEDERAL CREDIT UNION,US,visa,debit
490068,00-99,GLENDALE FEDERAL CREDIT UNION,US,visa,debit
490069,00-99,AXOS BANK,US,visa,debit
490070,00-99,CHASE,US,visa,debit
490071,00-99,CHASE,US,visa,debit
490072,00-99,JPMORGAN CHASE BANK N.A. - DEBIT,US,visa,debit
490073,00-99,JPMORGAN CHASE BANK N.A. - DEBIT,US,visa,debit
490074,00-99,JPMORGAN CHASE BANK N.A.,US,visa,debit
490075,00-99,Jpmorgan Chase Bank Na,US,visa,credit
490076,00-99,COMENITY BANK,US,visa,credit
490077,00-99,RBC BANK (GEORGIA) NATIONAL ASSOCIATION,US,visa,debit
490078,00-99,Jpmorgan Chase Bank Na,US,visa,credit
490079,00-99,WASHITA VALLEY BANK,US,visa,debit
490080,00-99,RBC BANK (GEORGIA) NATIONAL ASSOCIATION,US,visa,credit
490081,00-99,BC CARD CO. LTD.,IN,visa,credit
490082,00-99,EMPEOPLE CREDIT UNION,US,visa,credit
490083,00-99,BC CARD CO. LTD.,IN,visa,credit
490084,00-99,SOUTHERN COASTAL FEDERAL CREDIT UNION,US,visa,debit
490085,00-99,S&T BANK,US,visa,debit
490086,00-99,RIVER BANK,US,visa,debit
490087,00-99,HERITAGE COMMUNITY CREDIT UNION,US,visa,debit
490088,00-99,BELLCO CREDIT UNION,US,visa,debit
490089,00-99,CITIZENS STATE BANK,US,visa,debit
490090,00-99,PEOPLES NATIONAL BANK,US,visa,debit
490091,00-99,PHOENIX PAYMENT SYSTEMS INC.,US,visa,credit
490092,00-99,BC CARD CO. LTD.,IN,visa,credit
490093,00-99,ST. CHARLES BANK AND TRUST COMPANY,US,visa,debit
490094,00-99,Jpmorgan Chase Bank Na,US,visa,debit
490095,00-99,VINTAGE BANK KANSAS,US,visa,debit
490096,00-99,ASCENT BANK,US,visa,debit
490097,00-99,DADE COUNTY FEDERAL CREDIT UNION,US,visa,debit
490098,00-99,CATHAY BANK,US,visa,debit
490099,00-99,PREMIER MEMBERS CREDIT UNION,US,visa,debit
490100,00-99,BASE INTERCHANGE SYSTEM ASSOCIATION PUERTO RICO LEAGUE INC,PR,visa,credit
490101,00-99,REVOLUT SOCIEDADE DE CREDITO DIRETO S.A.,BR,visa,debit
490102,00-99,BANCO ARBI S.A.,BR,visa,debit
490103,00-99,BANCO AFINZ S.A. BANCO MULTIPLO,BR,visa,debit
490104,00-99,BASE INTERCHANGE SYSTEM ASSOCIATION PUERTO RICO LEAGUE INC,PR,visa,credit
490105,00-99,BANCO ARBI S.A.,BR,visa,credit
490106,00-99,REVOLUT SOCIEDADE DE CREDITO DIRETO S.A.,BR,visa,credit
490107,00-99,FIRSTRAND BANK LTD.,ZA,visa,credit
490108,00-99,NEW PEOPLES BANK INC.,US,visa,credit
490109,00-99,BANCO GNB SUDAMERIS S.A.,CO,visa,debit
490110,00-99,EBIX PAYMENT SERVICES PRIVATE LTD.,IN,visa,debit
490111,00-99,EBIX PAYMENT SERVICES PRIVATE LTD.,IN,visa,debit
490112,00-99,BANCO SOFITASA BANCO UNIVERSAL C.A.,VE,visa,credit
490113,00-99,BANCO SOFITASA C.A.,VE,visa,credit
490114,00-99,REGIONS BANK,US,visa,debit
490115,00-99,FIRSTRAND BANK LTD.,ZA,visa,credit
490116,00-99,SOUND CREDIT UNION,US,visa,credit
490117,00-99,SCHWEIZERISCHER BANKVEREIN (SWISS BANK CORPORATION,CH,visa,credit
490118,00-99,UBS,CH,visa,credit
490119,00-99,BANCO PAN S.A.,BR,visa,debit
490120,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490121,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490122,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490123,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490124,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490125,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490126,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490127,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490128,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490129,00-99,PRIMARY - SUMITOMO MITSUI CARD CO. LTD.,JP,visa,credit
490130,00-99,FIRSTRAND BANK LTD.,ZA,visa,credit
490131,00-99,BOK FINANCIAL,US,visa,debit
490132,00-99,FIRST NATIONAL BANK OF BOTSWANA LTD.,BW,visa,credit
490133,00-99,FIRST NATIONAL BANK OF BOTSWANA LTD.,BW,visa,debit
490134,00-99,FIRST NATIONAL BANK OF BOTSWANA LTD.,BW,visa,credit
490135,00-99,FIRSTRAND BANK LTD.,ZA,visa,credit
490136,00-99,FIRSTRAND BANK LTD.,ZA,visa,credit
490137,00-99,DISCOVERY BANK LTD.,ZA,visa,credit
490138,00-99,DISCOVERY BANK LTD.,ZA,visa,credit
490139,00-99,FIRSTRAND BANK LTD.,ZA,visa,credit
490140,00-99,CITIBANK,GR,visa,credit
490141,00-99,HORIZON BANK SSB,US,visa,debit
490142,00-99,Jpmorgan Chase Bank Na,US,visa,debit
490143,00-99,BANK OF THE SOUTH,US,visa,debit
490144,00-99,ITAU UNIBANCO HOLDING S.A.,BR,visa,credit
490145,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,visa,credit
490146,00-99,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA),ES,visa,credit
490147,00-99,BANKINTER S.A.,ES,visa,credit
490148,00-99,POMELO TECNOLOGIA SAS,CO,visa,credit
490149,00-99,REPUBLIC BANK LTD.,TT,visa,credit
490150,00-99,REPUBLIC BANK LTD.,TT,visa,credit
490151,00-99,BASE INTERCHANGE SYSTEM ASSOCIATION PUERTO RICO LEAGUE INC,PR,visa,credit
490152,00-99,REPUBLIC BANK LTD.,TT,visa,credit
490153,00-99,STATE BANK,US,visa,debit
490154,00-99,CITIZENS STATE BANK OF NEW CASTLE INDIANA,US,visa,debit
490155,00-99,U.S. BANK NATIONAL ASSOCIATION,US,visa,debit
490156,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,visa,debit
490157,00-99,BANK OF AMERICA NATIONAL ASSOCIATION,US,visa,debit
490158,00-99,ING-DIBA AG,DE,visa,credit
490159,00-99,Jpmorgan Chase Bank Na,US,visa,debit
490160,00-99,U.S. BANK NATIONAL ASSOCIATION,US,visa,debit
490161,00-99,BANCO DIRECTO S.A.,ES,visa,debit
490162,00-99,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,ES,visa,debit
490163,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,visa,credit
490164,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,visa,credit
490165,00-99,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA),ES,visa,credit
490166,00-99,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA),ES,visa,credit
490167,00-99,DEGUSSA BANK AG,DE,visa,credit
490168,00-99,REPUBLIC BANK LTD.,TT,visa,credit
490169,00-99,SYRACUSE COOPERATIVE FEDERAL CREDIT UNION,US,visa,debit
490170,00-99,SUMITOMO MITSUI CARD COMPANY LTD.,JP,visa,credit
490171,00-99,THE KIYO CARD CO. LTD.,JP,visa,credit
490172,00-99,ITAU,BR,visa,credit
490173,00-99,CAJA RURAL,ES,visa,credit
490174,00-99,BROWARD HEALTHCARE FEDERAL CREDIT UNION,US,visa,debit
490175,00-99,TURKIYE GARANTI BANKASI A. S.,TR,visa,credit
490176,00-99,TARJETAS BANAMEX S.A. DE C.V. SOFOM ENTIDAD REGULADA,MX,visa,credit
490177,00-99,FARMERS & MERCHANTS STATE BANK,US,visa,credit
490178,00-99,CONSUBANCO S.A. INSTITUCION DE BANCA MULTIPLE,MX,visa,credit
490179,00-99,TELLER A.S.,NO,visa,debit
490180,00-99,VISA NORGE A/S,NO,visa,credit
490181,00-99,VISA NORGE A/S,NO,visa,credit
490182,00-99,VISA NORGE A/S,NO,visa,credit
490183,00-99,VISA NORGE A/S,NO,visa,credit
490184,00-99,VISA NORGE A/S,NO,visa,credit
490185,00-99,VISA NORGE A/S,NO,visa,credit
490186,00-99,VISA NORGE A/S,NO,visa,credit
490187,00-99,VISA NORGE A/S,NO,visa,credit
490188,00-99,VISA NORGE A/S,NO,visa,credit
490189,00-99,VISA NORGE A/S,NO,visa,credit
490190,00-99,VISA NORGE A/S,NO,visa,credit
490191,00-99,MASHREQBANK,AE,visa,credit
490192,00-99,VISA NORGE A/S,NO,visa,credit
490193,00-99,VISA NORGE A/S,NO,visa,credit
490194,00-99,NORDEA BANK NORGE ASA HK,NO,visa,credit
490195,00-99,VISA NORGE A/S,NO,visa,credit
490196,00-99,VISA NORGE A/S,NO,visa,credit
490197,00-99,VISA NORGE A/S,NO,visa,credit
490198,00-99,VISA NORGE A/S,NO,visa,credit
490199,00-99,VISA NORGE A/S,NO,visa,credit
490200,00-99,MECHANICS BANK,US,visa,debit
490201,00-99,CENTRAL BANK ILLINOIS,US,visa,debit
490202,00-99,CAPITAL CITY BANK,US,visa,debit
490203,00-99,CAPITAL CITY BANK,US,visa,credit
490204,00-99,HORIZON BANK,US,visa,debit
490205,00-99,WHITAKER BANK,US,visa,debit
490206,00-99,WAUKESHA STATE BANK,US,visa,debit
490207,00-99,WAUKESHA STATE BANK,US,visa,credit
490208,00-99,CENTRAL BANK ILLINOIS,US,visa,debit
490209,00-99,BANK OF SHOREWOOD,US,visa,debit
490210,00-99,CENTRAL BANK & TRUST CO.,US,visa,debit
490211,00-99,ORIGIN BANK,US,visa,debit
490212,00-99,ORIGIN BANK,US,visa,debit
490213,00-99,UNION BANK & TRUST,US,visa,debit
490214,00-99,Jpmorgan Chase Bank Na,US,visa,credit
490215,00-99,RENASANT BANK,US,visa,debit
490216,00-99,KITSAP BANK,US,visa,debit
490217,00-99,KOHLER CREDIT UNION,US,visa,debit
