BIN6,Ranges,Issuer,Country,Brand,Type
550000,00-99,HYUNDAICARD CO. LTD.,KR,mastercard,credit
550002,00-99,BANK ALJAZIRA,SA,mastercard,credit
550003,00-99,BANK OF AMERICA N.A.,US,mastercard,credit
550004,00-99,CU COOPERATIVE SYSTEMS LLC,US,mastercard,credit
550005,00-99,BARCLAYS BANK PLC,GB,mastercard,credit
550006,00-99,PUBLIC JOINT STOCK COMPANY BANK URALSIB,RU,mastercard,credit
550008,00-99,VTB BANK (PUBLIC JOINT-STOCK COMPANY),RU,mastercard,credit
550009,00-99,,AU,mastercard,debit
550010,00-99,CRNOGORSKA KOMERCIJALNA BANKA A.D. PODGORICA,ME,mastercard,credit
550011,00-99,TARGOBANK AG & CO. KGAA,DE,mastercard,credit
550012,00-99,TARGOBANK AG & CO. KGAA,DE,mastercard,credit
550014,00-99,BANCO DEL PICHINCHA C.A.,EC,mastercard,credit
550015,00-99,BANCO DEL PICHINCHA C.A.,EC,mastercard,credit
550016,00-99,BANCO BS2 S.A.,BR,maestro,debit
550017,00-99,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.,VN,mastercard,credit
550018,00-99,VISECA PAYMENT SERVICES SA,CH,mastercard,credit
550019,00-99,CSCBANK SAL,NG,mastercard,credit
550020,00-99,VISECA PAYMENT SERVICES SA,CH,mastercard,credit
550021,00-99,VISECA PAYMENT SERVICES SA,CH,mastercard,credit
550022,00-99,VISECA PAYMENT SERVICES SA,CH,mastercard,credit
550023,00-99,BANK OF BEIRUT S.A.L.,LB,mastercard,credit
550024,00-99,CU COOPERATIVE SYSTEMS LLC,US,mastercard,credit
550025,00-99,CREDIT UNION PAYMENT CENTER (LIMITED LIABILITY COMPANY),RU,mastercard,debit
550026,00-99,VISECA PAYMENT SERVICES SA,CH,mastercard,credit
550027,00-99,,US,mastercard,credit
550028,00-99,JYSKE,DK,mastercard,credit
550029,00-99,BANK OF AMERICA N.A.,US,mastercard,credit
550030,00-99,,AU,mastercard,credit
550033,00-99,PJSC ROSBANK,RU,mastercard,debit
550034,00-99,,US,mastercard,credit
550035,00-99,,US,mastercard,credit
550036,00-99,NORTHERN TRUST BANK,US,mastercard,credit
550037,00-99,NORTHERN TRUST BANK,US,mastercard,credit
550038,00-99,MERRICK BANK CORPORATION,US,mastercard,credit
550039,00-99,BANK OF AMERICA N.A.,US,mastercard,credit
550040,00-99,JPMORGAN CHASE BANK N.A.,US,mastercard,credit
550041,00-99,,US,mastercard,credit
550042,00-99,JSCB NADRA BANK,UA,mastercard,credit
550043,00-99,NOOR BANK PJSC,AE,mastercard,debit
550044,00-99,DANSKE BANK A/S,LV,mastercard,credit
550045,00-99,TRIPLINK INTERNATIONAL CO.LIMITED,HK,mastercard,credit
550047,00-99,BANK OF BERMUDA LTD.,BM,mastercard,credit
550048,00-99,WELLS FARGO BANK N.A.,US,mastercard,credit
550049,00-99,WELLS FARGO BANK N.A.,US,mastercard,credit
550050,00-99,HSBC BANK (CHINA) CO. LTD.,CN,mastercard,debit
