BIN6,Ranges,Issuer,Country,Brand,Type
630000,00-99,EXPORT-IMPORT BANK LTD.,BD,maestro,debit
630006,00-99,AGRICULTURAL BANK OF CHINA,CN,private label,debit
630028,00-99,,RU,maestro,debit
630041,00-99,AGRICULTURAL BANK OF CHINA,CN,private label,debit
630042,00-99,TEACHERS CARD,CN,local,debit
630100,00-99,,US,ebt,debit
630110,00-99,,US,ebt,debit
630114,00-99,WIRECARD CARD SOLUTIONS LTD.,DE,maestro,debit
630121,00-99,PAYRNET LTD.,DE,maestro,debit
630222,00-99,,GB,maestro,debit
630400,00-99,,IN,maestro,debit
630401,00-99,,ES,maestro,debit
630408,00-99,,IE,maestro,debit
630409,00-99,,IE,maestro,debit
630412,00-99,,ES,maestro,debit
630440,00-99,,GB,maestro,debit
630441,00-99,,GB,maestro,debit
630445,00-99,,ES,maestro,debit
630456,00-99,,IE,maestro,debit
630461,00-99,,IE,maestro,debit
630477,00-99,,IE,maestro,debit
630478,00-99,,IE,maestro,debit
630479,00-99,,IE,maestro,debit
630480,00-99,,IE,maestro,debit
630481,00-99,,IE,maestro,debit
630482,00-99,,IE,maestro,debit
630483,00-99,,IE,maestro,debit
630484,00-99,,IE,maestro,debit
630485,00-99,,IE,maestro,debit
630486,00-99,INBS,IE,maestro,debit
630487,00-99,EBS,IE,maestro,debit
630488,00-99,,IE,maestro,debit
630489,00-99,IRISH PERMANENT,IE,maestro,debit
630490,00-99,THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND,IE,maestro,debit
630491,00-99,,IE,maestro,debit
630492,00-99,,IE,maestro,debit
630493,00-99,ALLIED IRISH BANKS PLC,IE,maestro,debit
630494,00-99,AIB BANK,IE,maestro,debit
630495,00-99,NATIONAL IRISH BANK,IE,maestro,debit
630496,00-99,,IE,maestro,debit
630497,00-99,,IE,maestro,debit
630498,00-99,ULSTER BANK LTD.,IE,maestro,debit
630499,00-99,PERMANENT TSB PLC,IE,cirrus,debit
630521,00-99,,BR,maestro,debit
630722,00-99,,IE,maestro,debit
630953,00-99,,MK,maestro,debit
631000,00-99,,BR,maestro,debit
631060,00-99,VOLKSBANK MONCHENGLADBACH EG,DE,vpay,debit
631090,00-99,,BR,maestro,debit
631092,00-99,,BG,maestro,debit
631240,00-99,HSCB,GB,maestro,credit
631307,00-99,,GB,maestro,debit
631564,00-99,,US,ebt,debit
631680,00-99,AGRICULTURAL BANK OF CHINA,CN,private label,debit
631681,00-99,,BR,maestro,debit
631698,00-99,,IN,maestro,debit
631728,00-99,,US,ebt,debit
631900,00-99,CREATION,GB,duet,debit
631901,00-99,CREATION,GB,duet,debit
631902,00-99,CREATION,GB,duet,debit
631903,00-99,CREATION,GB,duet,debit
631904,00-99,CREATION,GB,duet,debit
631905,00-99,CREATION,GB,duet,debit
631906,00-99,CREATION,GB,duet,debit
631907,00-99,CREATION,GB,duet,debit
631908,00-99,CREATION,GB,duet,debit
631909,00-99,CREATION,GB,duet,debit
631910,00-99,GE CAPITAL,GB,newday,debit
631911,00-99,GE CAPITAL,GB,ge capital,debit
631912,00-99,GE CAPITAL,GB,ge capital,debit
631913,00-99,GE CAPITAL,GB,ge capital,debit
631914,00-99,GE CAPITAL,GB,ge capital,debit
631915,00-99,GE CAPITAL,GB,newday,debit
