BIN6,Ranges,Issuer,Country,Brand,Type
360000,00-99,,CO,diners club international,credit
360001,00-99,DC NICARAGUA,NI,diners club international,credit
360002,00-99,DC SINGAPORE,SG,diners club international,credit
360003,00-99,DC SINGAPORE,SG,diners club international,credit
360004,00-99,DC SINGAPORE,SG,diners club international,credit
360005,00-99,DC SINGAPORE,SG,diners club international,credit
360006,00-99,DC SINGAPORE,SG,diners club international,credit
360007,00-99,DC SINGAPORE,SG,diners club international,credit
360008,00-99,DC SINGAPORE,SG,diners club international,credit
360009,00-99,DC SINGAPORE,SG,diners club international,credit
360010,00-99,DC SINGAPORE,SG,diners club international,credit
360011,00-99,DC SINGAPORE,SG,diners club international,credit
360012,00-99,,HK,diners club international,credit
360013,00-99,,HK,diners club international,credit
360014,00-99,,HK,diners club international,credit
360015,00-99,,HK,diners club international,credit
360016,00-99,,MY,diners club international,credit
360017,00-99,,MY,diners club international,credit
360018,00-99,,MY,diners club international,credit
360019,00-99,,MY,diners club international,credit
360020,00-99,,US,diners club international,credit
360021,00-99,DC SINGAPORE,SG,diners club international,credit
360022,00-99,DC SINGAPORE,SG,diners club international,credit
360023,00-99,DC SINGAPORE,SG,diners club international,credit
360024,00-99,DC SINGAPORE,SG,diners club international,credit
360025,00-99,DC SINGAPORE,SG,diners club international,credit
360026,00-99,DC SINGAPORE,SG,diners club international,credit
360027,00-99,DC SINGAPORE,SG,diners club international,credit
360028,00-99,DC SINGAPORE,SG,diners club international,credit
360029,00-99,DC SINGAPORE,SG,diners club international,credit
360030,00-99,DC SINGAPORE,SG,diners club international,credit
360031,00-99,DC ITALY,IT,diners club international,credit
360032,00-99,DC ITALY,IT,diners club international,credit
360033,00-99,DC ITALY,IT,diners club international,credit
360034,00-99,DC ITALY,IT,diners club international,credit
360035,00-99,DC ITALY,IT,diners club international,credit
360036,00-99,DC ITALY,IT,diners club international,credit
360037,00-99,DC ITALY,IT,diners club international,credit
360038,00-99,DC ITALY,IT,diners club international,credit
360039,00-99,,IT,diners club international,credit
360040,00-99,,IT,diners club international,credit
360041,00-99,DC ECUADOR,EC,diners club international,credit
360042,00-99,DC UAE,AE,diners club international,credit
360043,00-99,HYUNDAI CARD,KR,diners club international,debit
360044,00-99,,BE,diners club international,credit
360045,00-99,,CL,diners club international,credit
360046,00-99,,CL,diners club international,credit
360047,00-99,,CL,diners club international,credit
360048,00-99,,CL,diners club international,credit
360049,00-99,,CL,diners club international,credit
360050,00-99,,RS,diners club international,credit
360051,00-99,,GB,diners club international,credit
360052,00-99,,GB,diners club international,credit
360053,00-99,DC ADRIATIC,HR,diners club international,credit
360054,00-99,DC ADRIATIC,HR,diners club international,credit
360055,00-99,DC ADRIATIC,HR,diners club international,credit
360056,00-99,DC ADRIATIC,HR,diners club international,credit
360057,00-99,DC ADRIATIC,HR,diners club international,credit
360058,00-99,DC HONDURAS,HN,diners club international,credit
360059,00-99,DC HONDURAS,HN,diners club international,credit
360060,00-99,DC HONDURAS,HN,diners club international,credit
360061,00-99,,BE,diners club international,credit
360062,00-99,,BE,diners club international,credit
360063,00-99,,RS,diners club international,credit
360064,00-99,HYUNDAICARD CO. LTD.,KR,diners club international,credit
360065,00-99,HYUNDAICARD CO. LTD.,KR,diners club international,credit
360066,00-99,HYUNDAICARD CO. LTD.,KR,diners club international,credit
360067,00-99,HYUNDAICARD CO. LTD.,KR,diners club international,credit
360068,00-99,HYUNDAICARD CO. LTD.,KR,diners club international,credit
360069,00-99,HYUNDAI CARD,KR,diners club international,credit
360070,00-99,,NZ,diners club international,credit
360071,00-99,,NZ,diners club international,credit
360072,00-99,,NZ,diners club international,credit
360073,00-99,,NZ,diners club international,credit
360074,00-99,,KR,diners club international,credit
360075,00-99,DC KOREA,KR,diners club international,credit
360076,00-99,DC KOREA,KR,diners club international,credit
360077,00-99,,DE,diners club international,credit
360078,00-99,DC GERMANY,DE,diners club international,credit
360079,00-99,DC GERMANY,DE,diners club international,credit
360080,00-99,DC GERMANY,DE,diners club international,credit
360081,00-99,DC GERMANY,DE,diners club international,credit
360082,00-99,,LU,diners club international,credit
360083,00-99,,NL,diners club international,credit
360084,00-99,,BE,diners club international,credit
360085,00-99,,IE,diners club international,credit
