BIN6,Ranges,Issuer,Country,Brand,Type
520000,00-99,PUBLIC,MY,mastercard,credit
520001,00-99,BANK OF AMERICA NATIONAL ASSOCIATION,US,mastercard,credit
520002,00-99,BANCO PROMERICA S.A.,SV,mastercard,credit
520003,00-99,BANK OF AMERICA NATIONAL ASSOCIATION,PR,mastercard,credit
520004,00-99,UNIVERSO IME SA,PT,mastercard,credit
520005,00-99,BANCO DE AHORRO Y CREDITO INMOBILIARIO S.A.,DO,mastercard,credit
520006,00-99,YUANTA COMMERCIAL BANK CO. LTD.,TW,mastercard,credit
520007,00-99,NEXI PAYMENTS S.P.A.,IT,mastercard,credit
520008,00-99,THE NATIONAL BANK PLC,PS,mastercard,credit
520009,00-99,CREDISCOTIA FINANCIERA S.A.,PE,mastercard,credit
520010,00-99,WORLDLINE,NL,mastercard,credit
520011,00-99,ALLIANZ BANK BULGARIA AD,BG,mastercard,credit
520012,00-99,RAIFFEISEN BANK S.A.,RO,mastercard,debit
520013,00-99,CREFISA SA CREDITO FINANCIAMENTO E INVESTIMENTOS,BR,mastercard,debit
520014,00-99,NEXI PAYMENTS SPA,IT,mastercard,debit
520015,00-99,EUROBANK BULGARIA A.D.,BG,mastercard,debit
520016,00-99,EUROBANK BULGARIA AD,BG,mastercard,credit
520017,00-99,TURKIYE VAKIFLAR BANKASI T.A.O.,TR,mastercard,credit
520018,00-99,CREDOMATIC DE COSTA RICA S.A.,CR,mastercard,credit
520019,00-99,DENIZBANK A.S.,TR,mastercard,credit
520020,00-99,VOLCAN PROCESSING SA DE CV,CR,mastercard,credit
520021,00-99,TARJETAS BANAMEX SA DE CV SOFOM E.R.,MX,mastercard,credit
520022,00-99,BANCO DE NEGOCIOS INTERNACIONAL SA,AO,mastercard,credit
520023,00-99,VTB BANK (PUBLIC JOINT-STOCK COMPANY),RU,mastercard,debit
520024,00-99,BANCO DAVIVIENDA S.A.,CO,mastercard,credit
520025,00-99,SAMSUNG CARD CO. LTD.,KR,mastercard,debit
520026,00-99,BANCO NACIONAL DE COSTA RICA,CR,mastercard,credit
520027,00-99,BANCO AGROMERCANTIL S.A.,GT,mastercard,credit
520028,00-99,NETS DENMARK A S,NO,mastercard,credit
520029,00-99,NETWORK INTERNATIONAL LLC,AE,mastercard,credit
520030,00-99,WELLS FARGO BANK N.A.,PR,mastercard,credit
520031,00-99,BANQUE DU CAIRE,EG,mastercard,credit
520032,00-99,VIETNAM JOINT STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE,VN,mastercard,credit
520034,00-99,BANCARD S.A.,PY,mastercard,credit
520035,00-99,BANC OF CALIFORNIA N.A.,US,mastercard,debit
520036,00-99,BANCO AZTECA S.A. INSTITUCION DE BANCA MULTIPLE,MX,mastercard,credit
520037,00-99,PT. BANK MAYBANK INDONESIA TBK,ID,mastercard,credit
520038,00-99,STATE BANK OF INDIA,IN,mastercard,credit
520039,00-99,STATE BANK OF INDIA,IN,mastercard,credit
520040,00-99,PUBLIC JOINT-STOCK COMPANY BANK OTKRITIE FINANCIAL CORPORATION,RU,mastercard,debit
520041,00-99,STATE BANK OF INDIA,IN,mastercard,credit
520042,00-99,STATE BANK OF INDIA,IN,mastercard,credit
520043,00-99,SUMITOMO MITSUI CARD COMPANY LTD.,JP,mastercard,credit
520044,00-99,STATE BANK OF INDIA,IN,mastercard,credit
