BIN6,Ranges,Issuer,Country,Brand,Type
100001,00-99,STATE BANK OF INDIA,IN,local brand,debit
100002,00-99,STATE BANK OF INDIA,IN,local brand,debit
100003,00-99,Federal Bank,IN,visa,debit
100004,00-99,CENTRAL BANK OF INDIA,IN,local brand,debit
100005,00-99,BANK OF INDIA,IN,local brand,debit
100006,00-99,UCO BANK,IN,local brand,debit
100007,00-99,RBL BANK,IN,local brand,debit
100008,00-99,BANK OF INDIA,IN,local brand,debit
100011,00-99,RBL BANK,IN,local brand,debit
100013,00-99,ANDHRA BANK,IN,local brand,debit
100014,00-99,CANARA BANK,IN,local brand,debit
100015,00-99,CANARA BANK,IN,local brand,debit
100016,00-99,STATE BANK OF INDIA,IN,local brand,debit
100017,00-99,STATE BANK OF INDIA,IN,local brand,debit
100018,00-99,STATE BANK OF INDIA,IN,local brand,debit
100019,00-99,AXIS BANK,IN,local brand,debit
100020,00-99,PUNJAB NATIONAL BANK,IN,local brand,debit
100021,00-99,STATE BANK OF INDIA,IN,local brand,debit
100022,00-99,STATE BANK OF INDIA,IN,local brand,debit
100023,00-99,STATE BANK OF INDIA,IN,local brand,debit
100024,00-99,DHANLAXMI BANK,IN,local brand,debit
100025,00-99,CANARA BANK,IN,local brand,debit
100026,00-99,BANK OF INDIA,IN,local brand,debit
100027,00-99,UNITED BANK OF INDIA,IN,local brand,debit
100030,00-99,YES BANK,IN,local brand,debit
100031,00-99,AXIS BANK,IN,local brand,debit
100032,00-99,YES BANK,IN,local brand,debit
100033,00-99,ANDHRA BANK,IN,local brand,debit
100034,00-99,CANARA BANK,IN,local brand,debit
100035,00-99,PUNJAB NATIONAL BANK,IN,local brand,debit
100036,00-99,STATE BANK OF INDIA,IN,local brand,debit
100037,00-99,SHAMRAO VITHAL CO-OPERATIVE BANK,IN,local brand,debit
100038,00-99,ICICI BANK,IN,local brand,debit
100039,00-99,STATE BANK OF INDIA,IN,local brand,debit
100075,00-99,CHINA CITIC BANK,CN,private label,debit
100100,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100101,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100102,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100103,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100104,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100105,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100106,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100107,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100108,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100109,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100110,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100111,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100112,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100113,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100114,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100115,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100116,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100117,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100118,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100119,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100120,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100121,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100122,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100123,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100124,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100125,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100126,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100127,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100128,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100129,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100130,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100131,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100132,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100133,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100134,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100135,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100136,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100137,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100138,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100139,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100140,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100141,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100142,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100143,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100144,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100145,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100146,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100147,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
100148,00-99,AMERICAN AIRLINES (AA),US,uatp,credit
