BIN6,Ranges,Issuer,Country,Brand,Type
340000,00-99,AMERICAN EXPRESS,US,american express,credit
340001,00-99,AMERICAN EXPRESS CARTE-FRANCE S.A.,FR,american express,credit
340002,00-99,AMERICAN EXPRESS CARTE-FRANCE S.A.,FR,american express,credit
340003,00-99,,US,american express,credit
340004,00-99,,US,american express,credit
340005,00-99,,US,american express,credit
340006,00-99,,US,american express,credit
340007,00-99,,US,american express,credit
340008,00-99,,US,american express,credit
340009,00-99,,US,american express,credit
340010,00-99,AMERICAN EXPRESS SVCS EUROPE ITALY LTD.,IT,american express,credit
340011,00-99,,EG,american express,credit
340012,00-99,,US,american express,credit
340013,00-99,,HK,american express,credit
340014,00-99,,PL,american express,credit
340015,00-99,,US,american express,credit
340016,00-99,SANTANDER MEXICO,MX,american express,credit
340017,00-99,,US,american express,credit
340018,00-99,,US,american express,credit
340019,00-99,,IN,american express,credit
340020,00-99,SBI CARDS AND PAYMENT SERVICES LTD.,IN,american express,credit
340021,00-99,AEESA NORWAY CHARGE GLOBESTAR,NO,american express,credit
340022,00-99,AEII SINGAPORE BRANCH GSTAR CORP,SG,american express,credit
340023,00-99,CREDOMATIC DE GUATEMALA,GT,american express,credit
340024,00-99,BAC INTERNATIONAL BANK INC,PA,american express,credit
340025,00-99,BANCOLOMBIA,CO,american express,credit
340026,00-99,,US,american express,credit
340027,00-99,,IN,american express,debit
340028,00-99,JSC BANK OF GEORGIA,GE,american express,credit
340029,00-99,HALYK BANK,KZ,american express,credit
340030,00-99,AMERICAN EXPRESS SAUDI ARABIA,SA,american express,credit
340031,00-99,AMERICAN EXPRESS SAUDI ARABIA,SA,american express,credit
340032,00-99,BANCO BRADESCO,BR,american express,credit
340033,00-99,GRUPO FINANCIERO INBURSA,MX,american express,credit
340034,00-99,GRUPO FINANCIERO INBURSA SUBSIDIARIA,MX,american express,debit
340035,00-99,,US,american express,credit
340036,00-99,AMEX UK GLOBESTAR,GB,american express,credit
340037,00-99,,US,american express,credit
340038,00-99,,US,american express,credit
340039,00-99,MAYBANK,MY,american express,credit
340040,00-99,MAYBANK,MY,american express,debit
340041,00-99,,BE,american express,credit
340042,00-99,BANCO SANTANDER RIO SA.,AR,american express,credit
340043,00-99,BANCO GALICIA,AR,american express,credit
340044,00-99,BANCO BANSUD,AR,american express,credit
340045,00-99,BANCO PATAGONIA,AR,american express,credit
340046,00-99,,US,american express,credit
340047,00-99,,US,american express,credit
340048,00-99,HSBC - ARGENTINA,AR,american express,debit
340049,00-99,,IN,american express,credit
340050,00-99,,US,american express,credit
340051,00-99,,US,american express,credit
340052,00-99,,US,american express,credit
340053,00-99,AMEX NETHERLANDS CONSUMER,NL,american express,credit
340054,00-99,MI CARD CO. LTD.,JP,american express,credit
340055,00-99,AMEX AUSTRIA GLOBESTAR CHARGE,AT,american express,credit
340056,00-99,AEII TAIWAN - GSTAR CONS REVOLVE,TW,american express,credit
340057,00-99,AE - ARGENTINA,AR,american express,credit
340058,00-99,ALPHA CARD S.C.R.L BELGIUM,BE,american express,credit
340059,00-99,,US,american express,credit
340060,00-99,AMERICAN EXPRESS US CONSUMER,US,american express,credit
340061, 00-99, BREAD FINANCIAL, US, american express, credit
340062,00-99,NEDBANK,ZA,american express,debit
340063,00-99,JSC BANK OF GEORGIA,GE,american express,debit
340064,00-99,ACBA-CREDIT AGRICOLE BANK CJSC,AM,american express,credit
340065,00-99,,US,american express,credit
340066,00-99,JHSF ROADPASS PAYMENTS,BR,american express,credit
340067,00-99,,US,american express,credit
340068,00-99,,US,american express,credit
340069,00-99,,US,american express,credit
340070,00-99,,US,american express,credit
340071,00-99,,US,american express,credit
340072,00-99,,US,american express,credit
340073,00-99,,US,american express,credit
340074,00-99,,US,american express,credit
340075,00-99,,US,american express,credit
340076,00-99,,US,american express,credit
340077,00-99,CARDLESS,US,american express,credit
340078,00-99,,US,american express,credit
340079,00-99,AXIS BANK LTD.,IN,american express,credit
340080,00-99,SACOMBANK,VN,american express,debit
340081,00-99,SACOMBANK,VN,american express,credit
340082,00-99,PVFCU,US,american express,debit
340083,00-99,PEOPLES CARD SERVICES,CA,american express,debit
340084,00-99,AMERICAN EXPRESS EUROPE SA BELGIAN BR,BE,american express,credit
