BIN6,Ranges,Issuer,Country,Brand,Type
840100,00-99,UFJ ETC CARD,JP,local brand,debit
841092,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,private label,debit
843010,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843011,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843012,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843013,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843014,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843015,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843016,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843017,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843018,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843019,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843360,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843361,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843362,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843363,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843364,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843365,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843366,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843367,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843368,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843369,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843420,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843421,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843422,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843423,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843424,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843425,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
843426,00-99,SHANGHAI PUDONG DEVELOPMENT BANK,CN,private label,debit
