BIN6,Ranges,Issuer,Country,Brand,Type
710001,00-99,Synchrony Bank,US,private label,credit
710010,00-99,Synchrony Bank,US,private label,credit
710027,00-99,Synchrony Bank,US,private label,credit
710034,00-99,Synchrony Bank,US,private label,credit
710037,00-99,Synchrony Bank,US,private label,credit
710042,00-99,Synchrony Bank,US,private label,credit
710050,00-99,Synchrony Bank,US,private label,credit
710063,00-99,Synchrony Bank,US,private label,credit
710066,00-99,Synchrony Bank,US,private label,credit
710067,00-99,Synchrony Bank,US,private label,credit
710075,00-99,,US,private label,debit
710076,00-99,,US,private label,debit
710077,00-99,,US,private label,debit
710085,00-99,,US,private label,debit
710088,00-99,,US,private label,debit
710102,00-99,,US,private label,debit
710103,00-99,,US,private label,debit
710105,00-99,,US,private label,debit
710107,00-99,,US,private label,debit
710108,00-99,,US,private label,debit
710109,00-99,,US,private label,debit
710110,00-99,,US,private label,debit
710111,00-99,,US,private label,debit
710112,00-99,,US,private label,debit
710113,00-99,,US,private label,debit
710114,00-99,,US,private label,debit
710115,00-99,,US,private label,debit
710116,00-99,,US,private label,debit
710117,00-99,,US,private label,debit
710119,00-99,,US,private label,debit
710120,00-99,,US,private label,debit
710121,00-99,,US,private label,debit
710122,00-99,,US,private label,debit
710123,00-99,,US,private label,debit
710124,00-99,,US,private label,debit
710125,00-99,,US,private label,debit
710126,00-99,,US,private label,debit
710127,00-99,,US,private label,debit
710128,00-99,,US,private label,debit
710129,00-99,,US,private label,debit
710131,00-99,,US,private label,debit
710132,00-99,,US,private label,debit
710133,00-99,,US,private label,debit
710134,00-99,,US,private label,debit
710135,00-99,,US,private label,debit
710136,00-99,,US,private label,debit
710137,00-99,,US,private label,debit
710138,00-99,,US,private label,debit
710139,00-99,,US,private label,debit
710140,00-99,,US,private label,debit
710141,00-99,,US,private label,debit
710142,00-99,,US,private label,debit
710143,00-99,,US,private label,debit
710144,00-99,,US,private label,debit
710145,00-99,,US,private label,debit
710147,00-99,,US,private label,debit
710149,00-99,,US,private label,debit
710150,00-99,,US,private label,debit
710151,00-99,,US,private label,debit
710152,00-99,,US,private label,debit
710153,00-99,,US,private label,debit
710154,00-99,,US,private label,debit
710155,00-99,,US,private label,debit
710156,00-99,,US,private label,debit
710157,00-99,,US,private label,debit
710158,00-99,,US,private label,debit
710159,00-99,,US,private label,debit
710160,00-99,,US,private label,debit
710161,00-99,,US,private label,debit
710163,00-99,,US,private label,debit
710164,00-99,,US,private label,debit
710165,00-99,,US,private label,debit
710166,00-99,,US,private label,debit
710167,00-99,,US,private label,debit
710168,00-99,,US,private label,debit
710169,00-99,,US,private label,debit
710170,00-99,,US,private label,debit
710171,00-99,,US,private label,debit
710172,00-99,,US,private label,debit
710173,00-99,,US,private label,debit
710175,00-99,,US,private label,debit
710176,00-99,,US,private label,debit
710177,00-99,,US,private label,debit
710178,00-99,,US,private label,debit
710179,00-99,,US,private label,debit
710180,00-99,,US,private label,debit
710181,00-99,,US,private label,debit
710182,00-99,,US,private label,debit
710183,00-99,,US,private label,debit
710184,00-99,,US,private label,debit
710185,00-99,,US,private label,debit
710187,00-99,,US,private label,debit
710188,00-99,,US,private label,debit
710189,00-99,,US,private label,debit
710190,00-99,,US,private label,debit
710191,00-99,,US,private label,debit
710192,00-99,,US,private label,debit
710193,00-99,,US,private label,debit
710194,00-99,,US,private label,debit
710195,00-99,,US,private label,debit
710196,00-99,,US,private label,debit
710197,00-99,,US,private label,debit
710198,00-99,,US,private label,debit
710202,00-99,,US,private label,debit
710205,00-99,,US,private label,debit
710206,00-99,,US,private label,debit
710207,00-99,,US,private label,debit
710209,00-99,,US,private label,debit
710210,00-99,,US,private label,debit
710211,00-99,,US,private label,debit
710212,00-99,,US,private label,debit
710213,00-99,,US,private label,debit
710215,00-99,,US,private label,debit
710217,00-99,,US,private label,debit
710218,00-99,,US,private label,debit
710219,00-99,,US,private label,debit
710220,00-99,,US,private label,debit
710221,00-99,,US,private label,debit
710222,00-99,,US,private label,debit
710223,00-99,,US,private label,debit
710224,00-99,,US,private label,debit
710225,00-99,,US,private label,debit
710226,00-99,,US,private label,debit
710227,00-99,,US,private label,debit
710229,00-99,,US,private label,debit
710230,00-99,,US,private label,debit
710231,00-99,,US,private label,debit
710232,00-99,,US,private label,debit
710233,00-99,,US,private label,debit
710234,00-99,,US,private label,debit
710235,00-99,,US,private label,debit
710236,00-99,,US,private label,debit
710237,00-99,,US,private label,debit
710238,00-99,,US,private label,debit
710239,00-99,,US,private label,debit
710240,00-99,,US,private label,debit
710241,00-99,,US,private label,debit
710242,00-99,,RU,private label,debit
710244,00-99,,US,private label,debit
710245,00-99,,US,private label,debit
710246,00-99,,US,private label,debit
710247,00-99,,US,private label,debit
710248,00-99,,US,private label,debit
710249,00-99,,US,private label,debit
710250,00-99,,US,private label,debit
710251,00-99,,US,private label,debit
710252,00-99,,US,private label,debit
710253,00-99,,US,private label,debit
710254,00-99,,US,private label,debit
710255,00-99,,US,private label,debit
710256,00-99,,US,private label,debit
710257,00-99,,US,private label,debit
710258,00-99,,US,private label,debit
710259,00-99,,US,private label,debit
710260,00-99,,US,private label,debit
710261,00-99,,US,private label,debit
710262,00-99,,US,private label,debit
710263,00-99,,US,private label,debit
710264,00-99,,US,private label,debit
710265,00-99,,US,private label,debit
710266,00-99,,US,private label,debit
710267,00-99,,US,private label,debit
710268,00-99,,US,private label,debit
710270,00-99,,US,private label,debit
710271,00-99,,US,private label,debit
710272,00-99,,US,private label,debit
710273,00-99,,US,private label,debit
710274,00-99,,US,private label,debit
710275,00-99,,US,private label,debit
710276,00-99,,US,private label,debit
710277,00-99,,US,private label,debit
710278,00-99,,US,private label,debit
710279,00-99,,US,private label,debit
710280,00-99,,US,private label,debit
710281,00-99,,US,private label,debit
710282,00-99,,US,private label,debit
710283,00-99,,US,private label,debit
710284,00-99,,US,private label,debit
710285,00-99,,US,private label,debit
710286,00-99,,US,private label,debit
710288,00-99,,US,private label,debit
710289,00-99,,US,private label,debit
710290,00-99,,US,private label,debit
710291,00-99,,US,private label,debit
710292,00-99,,US,private label,debit
710293,00-99,,US,private label,debit
710295,00-99,,US,private label,debit
710296,00-99,,US,private label,debit
710297,00-99,,US,private label,debit
710298,00-99,,US,private label,debit
710299,00-99,,US,private label,debit
710301,00-99,,US,private label,debit
710305,00-99,,US,private label,debit
710306,00-99,,US,private label,debit
710309,00-99,,US,private label,debit
710311,00-99,,US,private label,debit
710312,00-99,,US,private label,debit
710313,00-99,,US,private label,debit
710314,00-99,,US,private label,debit
710315,00-99,,US,private label,debit
710316,00-99,,US,private label,debit
710317,00-99,,US,private label,debit
710318,00-99,,US,private label,debit
710319,00-99,,US,private label,debit
710320,00-99,,US,private label,debit
710321,00-99,,US,private label,debit
710322,00-99,,US,private label,debit
710323,00-99,,US,private label,debit
710324,00-99,,US,private label,debit
710325,00-99,,US,private label,debit
710326,00-99,,US,private label,debit
710327,00-99,,US,private label,debit
710328,00-99,,US,private label,debit
710329,00-99,,US,private label,debit
710330,00-99,,US,private label,debit
710331,00-99,,US,private label,debit
710332,00-99,,US,private label,debit
710333,00-99,,US,private label,debit
710334,00-99,,US,private label,debit
710335,00-99,,US,private label,debit
710336,00-99,,US,private label,debit
710337,00-99,,US,private label,debit
710338,00-99,,US,private label,debit
710339,00-99,,US,private label,debit
710340,00-99,,US,private label,debit
710342,00-99,,US,private label,debit
710343,00-99,,US,private label,debit
710344,00-99,,US,private label,debit
710345,00-99,,US,private label,debit
710346,00-99,,US,private label,debit
710347,00-99,,US,private label,debit
710348,00-99,,US,private label,debit
710349,00-99,,US,private label,debit
710350,00-99,,US,private label,debit
710351,00-99,,US,private label,debit
710352,00-99,,US,private label,debit
710354,00-99,,US,private label,debit
710355,00-99,,US,private label,debit
710357,00-99,,US,private label,debit
710358,00-99,,US,private label,debit
710359,00-99,,US,private label,debit
710360,00-99,,US,private label,debit
710361,00-99,,US,private label,debit
710362,00-99,,US,private label,debit
710363,00-99,,US,private label,debit
710364,00-99,,US,private label,debit
710365,00-99,,US,private label,debit
710366,00-99,,US,private label,debit
710367,00-99,,US,private label,debit
710368,00-99,,US,private label,debit
710369,00-99,,US,private label,debit
710370,00-99,,US,private label,debit
710371,00-99,,US,private label,debit
710372,00-99,,US,private label,debit
710373,00-99,,US,private label,debit
710374,00-99,,US,private label,debit
710375,00-99,,US,private label,debit
710376,00-99,,US,private label,debit
710377,00-99,,US,private label,debit
710378,00-99,,US,private label,debit
710379,00-99,,US,private label,debit
710380,00-99,,US,private label,debit
710386,00-99,,US,private label,debit
710387,00-99,,US,private label,debit
710388,00-99,,US,private label,debit
710389,00-99,,US,private label,debit
710390,00-99,,US,private label,debit
710392,00-99,,US,private label,debit
710395,00-99,,US,private label,debit
710396,00-99,,US,private label,debit
