BIN6,Ranges,Issuer,Country,Brand,Type
990001,00-99,THE GHATAL PEOPLES COOPERATIVE BANK LTD.,IN,local brand,debit
990003,00-99,LILUAH CO-OPERATIVE BANK LTD.,IN,local brand,debit
990004,00-99,THE BIJNOR URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990005,00-99,BALOTRA URBAN CO-OPERATIVE BANK LTD.,IN,local brand,debit
990006,00-99,UMIYA URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990007,00-99,NAGRIK SAHAKARI BANK LTD.,IN,local brand,debit
990008,00-99,THE PONDICHERRY STATE CO-OP BANK LTD.,IN,local brand,debit
990009,00-99,THE PALAKKAD DISTRICT CO OP BANK LTD,IN,rupay,debit
990010,00-99,STERLING URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990011,00-99,INTERNAL USE,US,private label,debit
990012,00-99,THE KUKARWADA NAGARIK SAHAKARI BANK LTD.,IN,local brand,debit
990013,00-99,THE MAHUDHA NAGARIK SAHAKARI BANK LTD.,IN,local brand,debit
990014,00-99,THE NAVNIRMAN CO-OPERATIVE BANK LTD.,IN,local brand,debit
990015,00-99,TURKIYE VAKIFLAR BANKASI T.A.O.,TR,maestro,debit
990016,00-99,BRAMHAPURI URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990017,00-99,NAGARIK SAHAKARI BANK MARYADIT DURG,IN,rupay,debit
990018,00-99,PALI URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990019,00-99,SHRI CHHANI NAGRIK SAHKARI BANK LTD.,IN,local brand,debit
990020,00-99,THE RAJPUTANA MAHILA URBAN CO OPERATIVE BAK LTD.,IN,local brand,debit
990022,00-99,THE BARODA CITY CO OPERATIVE BANK LTD,IN,rupay,debit
990023,00-99,BALASINOR NAGARIK SAHAKARI BANK LTD.,IN,local brand,debit
990024,00-99,THE SARVODAYA SAHAKARI BANK LTD.,IN,local brand,debit
990026,00-99,SARDARGANJ MERCANTILE CO OPERATIVE BANK LTD.,IN,local brand,debit
990027,00-99,WUHAN CITY COMMERCIAL BANK,CN,local,debit
990029,00-99,ETAH DISTRICT COOPERATIVE BANK LTD,IN,rupay,debit
990030,00-99,RAJLAXMI URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990031,00-99,CITIZEN CO OPERATIVE BANK LTD.,IN,local brand,debit
990032,00-99,CHURU ZILA URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990033,00-99,THE TEXTILE CO OPERATIVE BANK OF SURAT LTD.,IN,local brand,debit
990034,00-99,THE BHAGYODAYA CO OPERATIVE BANK LTD.,IN,local brand,debit
990035,00-99,THE KACHCHH DISTRICT CENTRAL CO OPERATIVE BANK LTD.,IN,local brand,debit
990036,00-99,SIHOR NAGARIK SAHAKARI BANK LTD.,IN,local brand,debit
990037,00-99,JIVAJI SAHAKARI BANK LTD ICHALKARANJI,IN,local brand,debit
990038,00-99,CITIZENS CO OPERATIVE BANK LTD,IN,rupay,debit
990039,00-99,KASHIPUR URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990040,00-99,UNITED MERCANTILE CO OPERATIVE BANK LTD.,IN,local brand,debit
990042,00-99,KASHMIR MERCANTILE CO OPERATIVE BANK LTD.,IN,local brand,debit
990043,00-99,THE BORAL UNION CO OPERATIVE BANK LTD.,IN,local brand,debit
990044,00-99,UMA CO OPERATIVE BANK LTD.,IN,local brand,debit
990045,00-99,THE FINANCIAL CO OPERATIVE BANK LTD.,IN,local brand,debit
990046,00-99,THE VAISH CO-OPERATIVE NEW BANK LTD.,IN,local brand,debit
990047,00-99,SIKAR URBAN CO OPERATIVE BANK LTD.,IN,local brand,debit
990048,00-99,SHREE BHAVNAGAR NAGRIK SAHAKARI BANK LTD.,IN,local brand,debit
990049,00-99,THE UNITED CO OPERATIVE BANK LTD.,IN,local brand,debit
990050,00-99,THE SINGHBHUM DISTRICT CENTRAL CO-OPERATIVE BANK,IN,local brand,debit
990051,00-99,SIHOR MERCANTILE CO-OPERATIVE BANK LTD.,IN,local brand,debit
990052,00-99,INTERNAL USE,US,private label,debit
990053,00-99,THE PANCHMAHAL DISTRICT CO OPERATIVE BANK LTD.,IN,local brand,debit
990056,00-99,DISTRICT CO OPERATIVE BANK LTD SAHARANPUR,IN,local brand,debit
990057,00-99,BHATPARA NAIHATI CO OPERATIVE BANK LTD,IN,rupay,debit
990058,00-99,THE BAIDYABATI SHEORAPHULI CO OPERATIVE BANK LTD.,IN,local brand,debit
990059,00-99,SHUSHRUTI SOUHARDA SAHAKARA BANK NIYAMITA,IN,local brand,debit
990060,00-99,CHARTERED SAHAKARI BANK NIYAMITHA,IN,local brand,debit
