BIN6,Ranges,Issuer,Country,Brand,Type
900000,00-99,UNIONPAY,CN,unionpay,debit
900001,00-99,BC CARD,KR,private label,debit
900002,00-99,AKTIF YATIRIM BANKASI,TR,troy,credit
900003,00-99,UNIONPAY,CN,unionpay,debit
900004,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900005,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900006,00-99,BANCO COOPERATIVO ESPANOL S.A. (BANTIERRA),ES,private label,debit
900007,00-99,CAIXABANK S.A.,ES,private label,debit
900008,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900009,00-99,CAIXABANK S.A.,ES,private label,debit
900010,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900011,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900012,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900013,00-99,BBVA,ES,private label,debit
900014,00-99,DISCOVER,US,discover,credit
900015,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900016,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900017,00-99,TEKSTILBANK A.S.,TR,troy,credit
900018,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900019,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900020,00-99,ODEA BANK A.S.,TR,troy,credit
900021,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900022,00-99,BANCO DE SABADELL,ES,private label,debit
900023,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900024,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900025,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900026,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900027,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900028,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900029,00-99,POSTA VE TELGRAF TESKILATI A.S.,TR,troy,credit
900031,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900033,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900037,00-99,BANCO SANTANDER S.A.,ES,private label,credit
900038,00-99,BANCO SANTANDER S.A.,ES,private label,credit
900039,00-99,BANCO SANTANDER S.A.,ES,private label,credit
900040,00-99,BANCO POPULAR ESPANOL S.A.,ES,private label,credit
900042,00-99,BANCA MARCH,ES,private label,credit
900043,00-99,BANCO PASTOR,ES,private label,credit
900046,00-99,BANCO POPULAR ESPANOL S.A.,ES,private label,credit
900048,00-99,SAMBA FINANCIAL GROUP,PK,local brand,credit
900049,00-99,BANCO POPULAR ESPANOL S.A.,ES,private label,credit
900050,00-99,BC CARD,KR,local brand,credit
900052,00-99,BANCO POPULAR ESPANOL S.A.,ES,private label,credit
900054,00-99,BANCO POPULAR ESPANOL S.A.,ES,private label,credit
900055,00-99,BANCO SABADELL S.A.,ES,private label,credit
900071,00-99,CAIXABANK S.A.,ES,private label,credit
900072,00-99,BANCO POPULAR ESPANOL S.A.,ES,private label,credit
900077,00-99,BANCO COOPERATIVO ESPANOL S.A. (BANTIERRA),ES,private label,debit
900078,00-99,BANCO COOPERATIVO ESPANOL S.A. (BANTIERRA),ES,private label,debit
900079,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900080,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900081,00-99,CAIXABANK S.A.,ES,private label,debit
900082,00-99,BBVA,ES,private label,debit
900083,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900086,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900087,00-99,BBVA,ES,private label,debit
900088,00-99,BANCO DE CAJA ESPANA DE INVERSIONES SALAMANCA Y SORIA S.A.,ES,private label,debit
900092,00-99,BANCO SABADELL S.A.,ES,private label,debit
900093,00-99,BANCO SABADELL S.A.,ES,private label,debit
900094,00-99,BANCO DE CREDITO COOPERATIVO (GRUPO CAJAMAR),ES,private label,debit
900095,00-99,BANCA PUEYO S.A.,ES,private label,debit
900096,00-99,LABORAL KUTXA,ES,private label,debit
900097,00-99,BANCO COOPERATIVO ESPANOL S.A.,ES,private label,debit
900099,00-99,BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA),ES,private label,debit
900101,00-99,BC CARD,KR,local brand,debit
900105,00-99,JINAN RURAL CREDIT COOPERATIVE UNION (NOT USED),CN,local,debit
900154,00-99,ABSA GROUP LTD.,ZA,local brand,credit
900205,00-99,JINAN RURAL CREDIT COOPERATIVE UNION (NOT USED),CN,local,debit
900210,00-99,VAKIF KATILIM BANKASI A.S,TR,troy,credit
900300,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900301,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900302,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900303,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900304,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900305,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900306,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900307,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900308,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900309,00-99,CHINA EVERBRIGHT BANK,CN,local,debit
900500,00-99,CITI ETC CARD,JP,local brand,debit
900502,00-99,GE CAPITAL BANK,CZ,private label,debit
900504,00-99,GE CAPITAL BANK,CZ,private label,debit
900512,00-99,BANK MUSCAT,OM,visa,debit
900600,00-99,GE CAPITAL BANK,CZ,private label,debit
900601,00-99,DISCOVER,US,discover,credit
900602,00-99,DISCOVER,US,discover,credit
900603,00-99,DISCOVER,US,discover,credit
900604,00-99,DISCOVER,US,discover,credit
900605,00-99,DISCOVER,US,discover,credit
900606,00-99,DISCOVER,US,discover,credit
900607,00-99,DISCOVER,US,discover,credit
900608,00-99,DISCOVER,US,discover,credit
900609,00-99,DISCOVER,US,discover,credit
900630,00-99,,US,private label,debit
900631,00-99,,US,private label,debit
900632,00-99,,US,private label,debit
900633,00-99,,US,private label,debit
900634,00-99,,QA,private label,debit
900635,00-99,,US,private label,debit
900636,00-99,,US,private label,debit
900637,00-99,,US,private label,debit
900638,00-99,,US,private label,debit
900639,00-99,,US,private label,debit
900680,00-99,,US,private label,debit
900681,00-99,,US,private label,debit
900682,00-99,,SA,private label,debit
900683,00-99,,US,private label,debit
900684,00-99,,US,private label,debit
900685,00-99,,US,private label,debit
900686,00-99,,US,private label,debit
900687,00-99,,US,private label,debit
900688,00-99,,US,private label,debit
900689,00-99,,US,private label,debit
900720,00-99,AMEN B,TN,cmi,debit
900780,00-99,,US,private label,debit
900781,00-99,,US,private label,debit
900782,00-99,,US,private label,debit
900783,00-99,,US,private label,debit
900784,00-99,HSBC BANK MIDDLE EAST,AE,private label,debit
900785,00-99,,US,private label,debit
900786,00-99,,US,private label,debit
900787,00-99,,US,private label,debit
900788,00-99,,US,private label,debit
900789,00-99,,US,private label,debit
900901,00-99,BANGLADESH POST OFFICE,BD,local brand,debit
900902,00-99,BANGLADESH POST OFFICE,BD,local brand,debit
901001,00-99,AGRANI BANK,BD,local brand,debit
902837,00-99,ABSA GROUP LTD.,ZA,local brand,credit
902838,00-99,ABSA GROUP LTD.,ZA,local brand,credit
903001,00-99,BANGLADESH COMMERCE BANK LTD.,BD,local brand,credit
903121,00-99,UNIBANK,AZ,private label,debit
903131,00-99,BANK OF BAKU,AZ,private label,debit
903501,00-99,JEJU BANK,KR,local brand,credit
903502,00-99,JEJU BANK,KR,local brand,credit
903503,00-99,JEJU BANK,KR,local brand,credit
903504,00-99,JEJU BANK,KR,local brand,credit
903505,00-99,JEJU BANK,KR,local brand,credit
903516,00-99,JEJU BANK,KR,local brand,debit
903517,00-99,JEJU BANK,KR,local brand,debit
903518,00-99,JEJU BANK,KR,local brand,debit
903519,00-99,JEJU BANK,KR,local brand,debit
903520,00-99,JEJU BANK,KR,local brand,debit
903551,00-99,JEJU BANK,KR,local brand,credit
903552,00-99,JEJU BANK,KR,local brand,credit
903553,00-99,JEJU BANK,KR,local brand,credit
903554,00-99,JEJU BANK,KR,local brand,credit
903555,00-99,JEJU BANK,KR,local brand,credit
903708,00-99,ECOBANK,NG,local brand,debit
904000,00-99,YARD CARD CANADA,CA,private label,debit
904001,00-99,YARD CARD CANADA,CA,private label,debit
904002,00-99,YARD CARD CANADA,CA,private label,debit
904003,00-99,YARD CARD CANADA,CA,private label,debit
904004,00-99,YARD CARD CANADA,CA,private label,debit
904005,00-99,YARD CARD CANADA,CA,private label,debit
904006,00-99,YARD CARD CANADA,CA,private label,debit
904007,00-99,YARD CARD CANADA,CA,private label,debit
904008,00-99,YARD CARD CANADA,CA,private label,debit
904009,00-99,YARD CARD CANADA,CA,private label,debit
904010,00-99,YARD CARD CANADA,CA,private label,debit
904011,00-99,YARD CARD CANADA,CA,private label,debit
904012,00-99,YARD CARD CANADA,CA,private label,debit
904013,00-99,YARD CARD CANADA,CA,private label,debit
904014,00-99,YARD CARD CANADA,CA,private label,debit
904015,00-99,YARD CARD CANADA,CA,private label,debit
904016,00-99,YARD CARD CANADA,CA,private label,debit
904017,00-99,YARD CARD CANADA,CA,private label,debit
904018,00-99,YARD CARD CANADA,CA,private label,debit
904019,00-99,YARD CARD CANADA,CA,private label,debit
904020,00-99,YARD CARD CANADA,CA,private label,debit
904021,00-99,YARD CARD CANADA,CA,private label,debit
904022,00-99,YARD CARD CANADA,CA,private label,debit
904023,00-99,YARD CARD CANADA,CA,private label,debit
