BIN6,Ranges,Issuer,Country,Brand,Type
930000,00-99,CF ETC,JP,local brand,debit
930001,00-99,NATIONAL BANK OF GREECE S.A.,GR,local brand,credit
930003,00-99,BC CARD,KR,local brand,credit
930007,00-99,SUHYUP BANK,KR,local brand,credit
930011,00-99,BC CARD,KR,local brand,credit
930020,00-99,BC CARD,KR,local brand,credit
930023,00-99,BC CARD,KR,local brand,credit
930025,00-99,BC CARD CO. LTD.,KR,local brand,credit
930031,00-99,BC CARD,KR,local brand,credit
930032,00-99,BC CARD,KR,local brand,credit
930034,00-99,KWANGJU BANK,KR,local brand,credit
930037,00-99,JEONBUK BANK,KR,local brand,credit
930039,00-99,BC CARD,KR,local brand,credit
930050,00-99,BC CARDS,KR,local brand,debit
930051,00-99,BC CARD CO. LTD.,KR,local brand,credit
930102,00-99,GWANGJU BANK,KR,local brand,debit
930103,00-99,IBK BANK,KR,local brand,debit
930107,00-99,GWANGJU BANK,KR,local brand,debit
930111,00-99,NONGHYUP BANK,KR,local brand,debit
930112,00-99,NONGHYUP BANK,KR,local brand,debit
930118,00-99,GWANGJU BANK,KR,local brand,debit
930120,00-99,BC CARD CO. LTD.,KR,local brand,debit
930123,00-99,SC BANK,KR,local brand,debit
930125,00-99,BC CARDS CO. LTD.,KR,local brand,debit
930131,00-99,DAEGU BANK,KR,local brand,debit
930132,00-99,BUSAN BANK,KR,local brand,debit
930139,00-99,KYONGNAM BANK CO. LTD.,KR,local brand,debit
930144,00-99,BC CARD,KR,local brand,debit
930146,00-99,GWANGJU BANK,KR,local brand,debit
930150,00-99,BC CARD CO. LTD.,KR,local brand,debit
931117,00-99,ABSA GROUP LTD.,ZA,local brand,credit
932325,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,private label,debit
932328,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,private label,debit
933082,00-99,LOSANGO,BR,private label,debit
933301,00-99,Dutch-Bangla Bank,BD,nexus,debit
933302,00-99,Dutch-Bangla Bank,BD,nexus,debit
933330,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,private label,debit
933331,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,private label,debit
934402,00-99,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD.,HK,private label,debit
934403,00-99,Synchrony Bank,US,private label,credit
934404,00-99,THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD.,HK,private label,debit
934405,00-99,Synchrony Bank,US,private label,credit
934406,00-99,Synchrony Bank,US,private label,credit
934407,00-99,Synchrony Bank,US,private label,credit
934408,00-99,Synchrony Bank,US,private label,credit
934409,00-99,Synchrony Bank,US,private label,credit
934410,00-99,Synchrony Bank,US,private label,credit
934411,00-99,Synchrony Bank,US,private label,credit
934412,00-99,Ebt,US,private label,debit
934413,00-99,Ebt,US,private label,debit
934414,00-99,HANG SENG BANK LTD.,HK,private label,debit
934415,00-99,Ebt,US,private label,debit
934416,00-99,Ebt,US,private label,debit
934417,00-99,Ebt,US,private label,debit
934418,00-99,Ebt,US,private label,debit
934419,00-99,Ebt,US,private label,debit
934420,00-99,Ebt,US,private label,debit
934421,00-99,Ebt,US,private label,debit
934422,00-99,Ebt,US,private label,debit
934423,00-99,JPMorgan Chase Bank,US,private label,debit
934424,00-99,HANG SENG BANK LTD.,HK,private label,debit
934425,00-99,JPMorgan Chase Bank,US,private label,debit
934426,00-99,JPMorgan Chase Bank,US,private label,debit
934427,00-99,JPMorgan Chase Bank,US,private label,debit
934428,00-99,JPMorgan Chase Bank,US,private label,debit
934429,00-99,JPMorgan Chase Bank,US,private label,debit
934910,00-99,ABSA GROUP LTD.,ZA,local brand,credit
934911,00-99,ABSA GROUP LTD.,ZA,local brand,credit
935003,00-99,BC CARD,KR,local brand,debit
935007,00-99,SUHYUP BANK,KR,local brand,debit
935016,00-99,BC CARD,KR,local brand,debit
935017,00-99,BC CARD,KR,local brand,debit
935020,00-99,BC CARD,KR,local brand,debit
935023,00-99,BC CARD,KR,local brand,debit
935031,00-99,BC CARD,KR,local brand,debit
935032,00-99,BC CARD,KR,local brand,debit
935034,00-99,KWANGJU BANK,KR,local brand,debit
935037,00-99,JEONBUK BANK,KR,local brand,debit
935039,00-99,BC CARD,KR,local brand,debit
935048,00-99,BC CARD,KR,local brand,debit
935071,00-99,BC CARD,KR,local brand,debit
936001,00-99,Hang Seng Bank,HK,private label,debit
936002,00-99,JPMorgan Chase Bank,US,private label,debit
936003,00-99,JPMorgan Chase Bank,US,private label,debit
936004,00-99,JPMorgan Chase Bank,US,private label,debit
936005,00-99,,US,private label,debit
936006,00-99,,US,private label,debit
936007,00-99,,US,private label,debit
936008,00-99,,US,private label,debit
936009,00-99,,US,private label,debit
936088,00-99,BANK DKI,ID,private label,debit
937231,00-99,,GB,uk fuel card,debit
