BIN6,Ranges,Issuer,Country,Brand,Type
620003,00-99,China Unionpay,CN,unionpay,debit
620009,00-99,SAIGON THUONG TIN COMMERCIAL JSB,VN,local,debit
620010,00-99,SHENZHEN DEVELOPMENT BANK-DEBIT CARD,CN,local,debit
620011,00-99,BC CARD,KR,local,debit
620013,00-99,BANK OF COMMUNICATIONS HONG KONG BRANCH,HK,local,debit
620015,00-99,SINGAPORE STARNET ELECTRONIC PAYMENT PTE LTD.,CN,local,debit
620016,00-99,China Unionpay,CN,unionpay,debit
620017,00-99,China Unionpay,CN,unionpay,debit
620019,00-99,BANK OF CHINA MALAYSIA BRANCH,MY,local,debit
620021,00-99,BANK OF COMMUNICATIONS,CN,local,debit
620024,00-99,ROYAL BANK OPEN STOCK COMPANY,AZ,local,debit
620025,00-99,BANK OF CHINA AUSTRALIA,AU,local,debit
620026,00-99,BANK OF CHINA (AUSTRALIA) LTD.,AU,local,debit
620027,00-99,BC CARD,KR,local,debit
620028,00-99,China Unionpay,CN,unionpay,debit
620029,00-99,China Unionpay,CN,unionpay,debit
620030,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA ASIA,CN,local,debit
620031,00-99,BC CARD,KR,local,debit
620033,00-99,CHINA GUANGFA BANK CO. LTD.,CN,local,debit
620035,00-99,BANK OF CHINA MALAYSIA,MY,local,debit
620037,00-99,GUANGFA BANK CO. LTD.-GF YOUTH BANK PREPAID CARD-PREPAID CARD,CN,local,debit
620038,00-99,BANK OF CHINA COMMERCIAL PAYMENT CO. LTD.,CN,local,debit
620039,00-99,BC CARD,KR,local,debit
620040,00-99,BANK OF CHINA-GREAT WALL SOCIAL SECURITY CARD-PREPAID CARD,CN,local,debit
620041,00-99,China Unionpay,CN,unionpay,debit
620043,00-99,FUJIAN STRAIT BANK CO. LTD.-FUZHOU CITIZEN CARD-PREPAID CARD,CN,local,debit
620046,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA HANOI,VN,local,debit
620048,00-99,BOC EXPRESSPA CARD,CN,local,debit
620050,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA ASIA,CN,local,debit
620051,00-99,China Unionpay,CN,unionpay,debit
620052,00-99,China Unionpay,CN,unionpay,debit
620053,00-99,China Unionpay,CN,unionpay,debit
620054,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA BRUSSELS BRANC,BE,local,debit
620055,00-99,China Unionpay,CN,unionpay,debit
620056,00-99,CREDIT SAISON,JP,local,debit
620058,00-99,COMMERCIAL BANK OF CHINA,CN,local,debit
620059,00-99,AGRICULTURAL BANK OF CHINA,CN,local,debit
620060,00-99,CONSTRUCTION BANK-UNIONPAY STANDARD CARD,CN,local,debit
620061,00-99,BANK OF CHINA-UNIONPAY STANDARD CARD,CN,local,debit
620062,00-99,POSTAL BANK-UNIONPAY STANDARD CARD,CN,local,debit
620063,00-99,YINGKOU COASTAL BANK,CN,local,debit
620064,00-99,ZHONGSHAN ANCIENT TOWN NANYUE RURAL BANK,CN,local,debit
620067,00-99,RIZAL COMMERCIAL BANKING CORPORATION,CN,local,debit
620068,00-99,CHINA YINSHENG FINNANCE (HOLDING) LTD.,CN,local,debit
620070,00-99,CHINA YINSHENG,CN,local,debit
620072,00-99,DAFENG BANK CO. LTD.,MO,local,debit
620073,00-99,China Unionpay,CN,unionpay,debit
620076,00-99,China Unionpay,CN,unionpay,debit
620077,00-99,China Unionpay,CN,unionpay,debit
620079,00-99,COMMERCIAL BANK OF DUBAI,AE,local,debit
620081,00-99,China Unionpay,CN,unionpay,debit
620082,00-99,CITIC BANK-CHINA TRAVEL CARD,CN,local,debit
620084,00-99,China Unionpay,CN,unionpay,debit
620085,00-99,EBANK,CN,local,debit
620086,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,local,debit
620087,00-99,China Unionpay,CN,unionpay,debit
620088,00-99,BEIJING RURAL CREDIT COOPERATIVE UNION,CN,local,debit
620089,00-99,China Unionpay,CN,unionpay,debit
620090,00-99,China Unionpay,CN,unionpay,debit
620091,00-99,COMMERCIAL BANK OF DUBAI,AE,local,debit
620093,00-99,China Unionpay,CN,unionpay,debit
620094,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA SINGAPORE,SG,local,debit
620096,00-99,China Unionpay,CN,unionpay,debit
620101,00-99,ICBC,CN,local,debit
620103,00-99,BC CARD,KR,local,debit
620105,00-99,INN-U,CN,local,debit
620106,00-99,BC CARD,KR,local,debit
620107,00-99,CHINA CONSTRUCTION BANK,CN,local,debit
620108,00-99,Bank Of China,CN,unionpay,debit
620110,00-99,Bank Of China,CN,unionpay,debit
620114,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA FRANKFURT,DE,local,debit
620118,00-99,LIUZHOU BANK CO. LTD.-ASEAN BUSINESS TRAVEL CARD-PREPAID CARD,CN,local,debit
620120,00-99,BC CARD,KR,local,debit
620121,00-99,Bank Of China,CN,unionpay,debit
620123,00-99,BC CARD,KR,local,debit
620124,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,MO,local,debit
620125,00-99,BC CARD,KR,local,debit
620126,00-99,MACAO CONNECT CO. LTD.,MO,local,debit
620129,00-99,THE MAURITIUS COMMERCIAL BANK,MU,local,debit
620131,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA MILAN BRANCH,IT,local,debit
620132,00-99,BC CARD,KR,local,debit
620134,00-99,Bank Of China,CN,unionpay,debit
