BIN6,Ranges,Issuer,Country,Brand,Type
810000,00-99,,CN,local,debit
810001,00-99,,CN,local,debit
810002,00-99,,CN,local,debit
810003,00-99,,CN,local,debit
810004,00-99,,CN,local,debit
810005,00-99,,CN,local,debit
810006,00-99,,CN,local,debit
810007,00-99,,CN,local,debit
810008,00-99,,CN,local,debit
810009,00-99,,CN,local,debit
810010,00-99,,CN,local,debit
810011,00-99,,CN,local,debit
810012,00-99,,CN,local,debit
810013,00-99,,CN,local,debit
810014,00-99,,CN,local,debit
810015,00-99,,CN,local,debit
810016,00-99,,CN,local,debit
810017,00-99,,CN,local,debit
810018,00-99,,CN,local,debit
810019,00-99,,CN,local,debit
810020,00-99,,CN,local,debit
810021,00-99,,CN,local,debit
810022,00-99,,CN,local,debit
810023,00-99,,CN,local,debit
810024,00-99,,CN,local,debit
810025,00-99,,CN,local,debit
810026,00-99,,CN,local,debit
810027,00-99,,CN,local,debit
810028,00-99,,CN,local,debit
810029,00-99,,CN,local,debit
810030,00-99,,CN,local,debit
810031,00-99,,CN,local,debit
810032,00-99,,CN,local,debit
810033,00-99,,CN,local,debit
810034,00-99,,CN,local,debit
810035,00-99,,CN,local,debit
810036,00-99,,CN,local,debit
810037,00-99,,CN,local,debit
810038,00-99,,CN,local,debit
810039,00-99,,CN,local,debit
810040,00-99,,CN,local,debit
810041,00-99,,CN,local,debit
810042,00-99,,CN,local,debit
810043,00-99,,CN,local,debit
810044,00-99,,CN,local,debit
810045,00-99,,CN,local,debit
810046,00-99,,CN,local,debit
810047,00-99,,CN,local,debit
810048,00-99,,CN,local,debit
810049,00-99,,CN,local,debit
810050,00-99,,CN,local,debit
810051,00-99,,CN,local,debit
810052,00-99,,CN,local,debit
810053,00-99,,CN,local,debit
810054,00-99,,CN,local,debit
810055,00-99,,CN,local,debit
810056,00-99,,CN,local,debit
810057,00-99,,CN,local,debit
810058,00-99,,CN,local,debit
810059,00-99,,CN,local,debit
810060,00-99,,CN,local,debit
810061,00-99,,CN,local,debit
810062,00-99,,CN,local,debit
810063,00-99,,CN,local,debit
810064,00-99,,CN,local,debit
810065,00-99,,CN,local,debit
810066,00-99,,CN,local,debit
810067,00-99,,CN,local,debit
810068,00-99,,CN,local,debit
810069,00-99,,CN,local,debit
810070,00-99,,CN,local,debit
810071,00-99,,CN,local,debit
810072,00-99,,CN,local,debit
810073,00-99,,CN,local,debit
810074,00-99,,CN,local,debit
810075,00-99,,CN,local,debit
810076,00-99,,CN,local,debit
810077,00-99,,CN,local,debit
810078,00-99,,CN,local,debit
810079,00-99,,CN,local,debit
810080,00-99,,CN,local,debit
810081,00-99,,CN,local,debit
810082,00-99,,CN,local,debit
810083,00-99,,CN,local,debit
810084,00-99,,CN,local,debit
810085,00-99,,CN,local,debit
810086,00-99,,CN,local,debit
810087,00-99,,CN,local,debit
810088,00-99,,CN,local,debit
810089,00-99,,CN,local,debit
810090,00-99,,CN,local,debit
810091,00-99,,CN,local,debit
810092,00-99,,CN,local,debit
810093,00-99,,CN,local,debit
810094,00-99,,CN,local,debit
810095,00-99,,CN,local,debit
810096,00-99,,CN,local,debit
810097,00-99,,CN,local,debit
810098,00-99,,CN,local,debit
810099,00-99,,CN,local,debit
810100,00-99,,CN,local,debit
810101,00-99,,CN,local,debit
810102,00-99,,CN,local,debit
810103,00-99,,CN,local,debit
810104,00-99,,CN,local,debit
810105,00-99,,CN,local,debit
810106,00-99,,CN,local,debit
810107,00-99,,CN,local,debit
810108,00-99,,CN,local,debit
810109,00-99,,CN,local,debit
810110,00-99,,CN,local,debit
810111,00-99,,CN,local,debit
810112,00-99,,CN,local,debit
810113,00-99,,CN,local,debit
810114,00-99,,CN,local,debit
810115,00-99,,CN,local,debit
810116,00-99,,CN,local,debit
810117,00-99,,CN,local,debit
810118,00-99,,CN,local,debit
810119,00-99,,CN,local,debit
810120,00-99,,CN,local,debit
810121,00-99,,CN,local,debit
810122,00-99,,CN,local,debit
810123,00-99,,CN,local,debit
810124,00-99,,CN,local,debit
810125,00-99,,CN,local,debit
810126,00-99,,CN,local,debit
810127,00-99,,CN,local,debit
810128,00-99,,CN,local,debit
810129,00-99,,CN,local,debit
810130,00-99,,CN,local,debit
810131,00-99,,CN,local,debit
810132,00-99,,CN,local,debit
810133,00-99,,CN,local,debit
810134,00-99,,CN,local,debit
810135,00-99,,CN,local,debit
810136,00-99,,CN,local,debit
810137,00-99,,CN,local,debit
810138,00-99,,CN,local,debit
810139,00-99,,CN,local,debit
810140,00-99,,CN,local,debit
810141,00-99,,CN,local,debit
810142,00-99,,CN,local,debit
810143,00-99,,CN,local,debit
810144,00-99,,CN,local,debit
810145,00-99,,CN,local,debit
810146,00-99,,CN,local,debit
810147,00-99,,CN,local,debit
810148,00-99,,CN,local,debit
810149,00-99,,CN,local,debit
810150,00-99,,CN,local,debit
810151,00-99,,CN,local,debit
810152,00-99,,CN,local,debit
810153,00-99,,CN,local,debit
810154,00-99,,CN,local,debit
810155,00-99,,CN,local,debit
810156,00-99,,CN,local,debit
810157,00-99,,CN,local,debit
810158,00-99,,CN,local,debit
810159,00-99,,CN,local,debit
810160,00-99,,CN,local,debit
810161,00-99,,CN,local,debit
810162,00-99,,CN,local,debit
810163,00-99,,CN,local,debit
810164,00-99,,CN,local,debit
810165,00-99,,CN,local,debit
810166,00-99,,CN,local,debit
810167,00-99,,CN,local,debit
810168,00-99,,CN,local,debit
810169,00-99,,CN,local,debit
810170,00-99,,CN,local,debit
810171,00-99,,CN,local,debit
810172,00-99,,CN,local,debit
810173,00-99,,CN,local,debit
810174,00-99,,CN,local,debit
810175,00-99,,CN,local,debit
810176,00-99,,CN,local,debit
810177,00-99,,CN,local,debit
810178,00-99,,CN,local,debit
810179,00-99,,CN,local,debit
810180,00-99,,CN,local,debit
810181,00-99,,CN,local,debit
810182,00-99,,CN,local,debit
810183,00-99,,CN,local,debit
810184,00-99,,CN,local,debit
810185,00-99,,CN,local,debit
810186,00-99,,CN,local,debit
810187,00-99,,CN,local,debit
810188,00-99,,CN,local,debit
810189,00-99,,CN,local,debit
810190,00-99,,CN,local,debit
810191,00-99,,CN,local,debit
810192,00-99,,CN,local,debit
810193,00-99,,CN,local,debit
810194,00-99,,CN,local,debit
810195,00-99,,CN,local,debit
810196,00-99,,CN,local,debit
810197,00-99,,CN,local,debit
810198,00-99,,CN,local,debit
810199,00-99,,CN,local,debit
810200,00-99,,CN,local,debit
810201,00-99,,CN,local,debit
810202,00-99,,CN,local,debit
810203,00-99,,CN,local,debit
810204,00-99,,CN,local,debit
810205,00-99,,CN,local,debit
810206,00-99,,CN,local,debit
810207,00-99,,CN,local,debit
810208,00-99,,CN,local,debit
810209,00-99,,CN,local,debit
810210,00-99,,CN,local,debit
810211,00-99,,CN,local,debit
810212,00-99,,CN,local,debit
810213,00-99,,CN,local,debit
810214,00-99,,CN,local,debit
810215,00-99,,CN,local,debit
810216,00-99,,CN,local,debit
810217,00-99,,CN,local,debit
810218,00-99,,CN,local,debit
810219,00-99,,CN,local,debit
810220,00-99,,CN,local,debit
810221,00-99,,CN,local,debit
810222,00-99,,CN,local,debit
810223,00-99,,CN,local,debit
810224,00-99,,CN,local,debit
810225,00-99,,CN,local,debit
810226,00-99,,CN,local,debit
810227,00-99,,CN,local,debit
810228,00-99,,CN,local,debit
810229,00-99,,CN,local,debit
810230,00-99,,CN,local,debit
810231,00-99,,CN,local,debit
810232,00-99,,CN,local,debit
810233,00-99,,CN,local,debit
810234,00-99,,CN,local,debit
810235,00-99,,CN,local,debit
810236,00-99,,CN,local,debit
810237,00-99,,CN,local,debit
810238,00-99,,CN,local,debit
810239,00-99,,CN,local,debit
810240,00-99,,CN,local,debit
810241,00-99,,CN,local,debit
810242,00-99,,CN,local,debit
810243,00-99,,CN,local,debit
810244,00-99,,CN,local,debit
810245,00-99,,CN,local,debit
810246,00-99,,CN,local,debit
810247,00-99,,CN,local,debit
810248,00-99,,CN,local,debit
810249,00-99,,CN,local,debit
810250,00-99,,CN,local,debit
810251,00-99,,CN,local,debit
810252,00-99,,CN,local,debit
810253,00-99,,CN,local,debit
810254,00-99,,CN,local,debit
810255,00-99,,CN,local,debit
810256,00-99,,CN,local,debit
810257,00-99,,CN,local,debit
810258,00-99,,CN,local,debit
810259,00-99,,CN,local,debit
810260,00-99,,CN,local,debit
810261,00-99,,CN,local,debit
810262,00-99,,CN,local,debit
810263,00-99,,CN,local,debit
810264,00-99,,CN,local,debit
810265,00-99,,CN,local,debit
810266,00-99,,CN,local,debit
810267,00-99,,CN,local,debit
810268,00-99,,CN,local,debit
810269,00-99,,CN,local,debit
810270,00-99,,CN,local,debit
810271,00-99,,CN,local,debit
810272,00-99,,CN,local,debit
810273,00-99,,CN,local,debit
810274,00-99,,CN,local,debit
810275,00-99,,CN,local,debit
810276,00-99,,CN,local,debit
810277,00-99,,CN,local,debit
810278,00-99,,CN,local,debit
810279,00-99,,CN,local,debit
810280,00-99,,CN,local,debit
810281,00-99,,CN,local,debit
810282,00-99,,CN,local,debit
810283,00-99,,CN,local,debit
810284,00-99,,CN,local,debit
810285,00-99,,CN,local,debit
810286,00-99,,CN,local,debit
810287,00-99,,CN,local,debit
810288,00-99,,CN,local,debit
810289,00-99,,CN,local,debit
810290,00-99,,CN,local,debit
810291,00-99,,CN,local,debit
810292,00-99,,CN,local,debit
810293,00-99,,CN,local,debit
810294,00-99,,CN,local,debit
810295,00-99,,CN,local,debit
810296,00-99,,CN,local,debit
810297,00-99,,CN,local,debit
810298,00-99,,CN,local,debit
810299,00-99,,CN,local,debit
810300,00-99,,CN,local,debit
810301,00-99,,CN,local,debit
810302,00-99,,CN,local,debit
810303,00-99,,CN,local,debit
810304,00-99,,CN,local,debit
810305,00-99,,CN,local,debit
810306,00-99,,CN,local,debit
810307,00-99,,CN,local,debit
810308,00-99,,CN,local,debit
810309,00-99,,CN,local,debit
810310,00-99,,CN,local,debit
810311,00-99,,CN,local,debit
810312,00-99,,CN,local,debit
810313,00-99,,CN,local,debit
810314,00-99,,CN,local,debit
810315,00-99,,CN,local,debit
810316,00-99,,CN,local,debit
810317,00-99,,CN,local,debit
810318,00-99,,CN,local,debit
810319,00-99,,CN,local,debit
810320,00-99,,CN,local,debit
810321,00-99,,CN,local,debit
810322,00-99,,CN,local,debit
810323,00-99,,CN,local,debit
810324,00-99,,CN,local,debit
810325,00-99,,CN,local,debit
810326,00-99,,CN,local,debit
810327,00-99,,CN,local,debit
810328,00-99,,CN,local,debit
810329,00-99,,CN,local,debit
810330,00-99,,CN,local,debit
810331,00-99,,CN,local,debit
810332,00-99,,CN,local,debit
810333,00-99,,CN,local,debit
810334,00-99,,CN,local,debit
810335,00-99,,CN,local,debit
810336,00-99,,CN,local,debit
810337,00-99,,CN,local,debit
810338,00-99,,CN,local,debit
810339,00-99,,CN,local,debit
810340,00-99,,CN,local,debit
810341,00-99,,CN,local,debit
810342,00-99,,CN,local,debit
810343,00-99,,CN,local,debit
810344,00-99,,CN,local,debit
810345,00-99,,CN,local,debit
810346,00-99,,CN,local,debit
810347,00-99,,CN,local,debit
810348,00-99,,CN,local,debit
810349,00-99,,CN,local,debit
810350,00-99,,CN,local,debit
810351,00-99,,CN,local,debit
810352,00-99,,CN,local,debit
810353,00-99,,CN,local,debit
810354,00-99,,CN,local,debit
810355,00-99,,CN,local,debit
810356,00-99,,CN,local,debit
810357,00-99,,CN,local,debit
810358,00-99,,CN,local,debit
810359,00-99,,CN,local,debit
810360,00-99,,CN,local,debit
810361,00-99,,CN,local,debit
810362,00-99,,CN,local,debit
810363,00-99,,CN,local,debit
810364,00-99,,CN,local,debit
810365,00-99,,CN,local,debit
810366,00-99,,CN,local,debit
810367,00-99,,CN,local,debit
810368,00-99,,CN,local,debit
810369,00-99,,CN,local,debit
810370,00-99,,CN,local,debit
810371,00-99,,CN,local,debit
810372,00-99,,CN,local,debit
810373,00-99,,CN,local,debit
810374,00-99,,CN,local,debit
810375,00-99,,CN,local,debit
810376,00-99,,CN,local,debit
810377,00-99,,CN,local,debit
810378,00-99,,CN,local,debit
810379,00-99,,CN,local,debit
810380,00-99,,CN,local,debit
810381,00-99,,CN,local,debit
810382,00-99,,CN,local,debit
810383,00-99,,CN,local,debit
810384,00-99,,CN,local,debit
810385,00-99,,CN,local,debit
810386,00-99,,CN,local,debit
810387,00-99,,CN,local,debit
810388,00-99,,CN,local,debit
810389,00-99,,CN,local,debit
810390,00-99,,CN,local,debit
810391,00-99,,CN,local,debit
810392,00-99,,CN,local,debit
810393,00-99,,CN,local,debit
810394,00-99,,CN,local,debit
810395,00-99,,CN,local,debit
810396,00-99,,CN,local,debit
810397,00-99,,CN,local,debit
810398,00-99,,CN,local,debit
810399,00-99,,CN,local,debit
810400,00-99,,CN,local,debit
810401,00-99,,CN,local,debit
810402,00-99,,CN,local,debit
810403,00-99,,CN,local,debit
810404,00-99,,CN,local,debit
810405,00-99,,CN,local,debit
810406,00-99,,CN,local,debit
810407,00-99,,CN,local,debit
810408,00-99,,CN,local,debit
810409,00-99,,CN,local,debit
810410,00-99,,CN,local,debit
810411,00-99,,CN,local,debit
810412,00-99,,CN,local,debit
810413,00-99,,CN,local,debit
810414,00-99,,CN,local,debit
810415,00-99,,CN,local,debit
810416,00-99,,CN,local,debit
810417,00-99,,CN,local,debit
810418,00-99,,CN,local,debit
810419,00-99,,CN,local,debit
810420,00-99,,CN,local,debit
810421,00-99,,CN,local,debit
810422,00-99,,CN,local,debit
810423,00-99,,CN,local,debit
810424,00-99,,CN,local,debit
810425,00-99,,CN,local,debit
810426,00-99,,CN,local,debit
810427,00-99,,CN,local,debit
810428,00-99,,CN,local,debit
810429,00-99,,CN,local,debit
810430,00-99,,CN,local,debit
810431,00-99,,CN,local,debit
810432,00-99,,CN,local,debit
810433,00-99,,CN,local,debit
810434,00-99,,CN,local,debit
810435,00-99,,CN,local,debit
810436,00-99,,CN,local,debit
810437,00-99,,CN,local,debit
810438,00-99,,CN,local,debit
810439,00-99,,CN,local,debit
810440,00-99,,CN,local,debit
