BIN6,Ranges,Issuer,Country,Brand,Type
320140,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,visa,credit
320160,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,private label,debit
320302,00-99,DANSKE BANK,DK,visa,credit
320545,00-99,BANCO COLPATRIA,CO,visa,credit
320572,00-99,BANCO DAVIVIENDA,CO,visa,credit
320609,00-99,BANCOLOMBIA,CO,visa,credit
321564,00-99,COMMERCIAL INTERNATIONAL BANK,EG,diners club international,credit
322222,00-99,DBS BANK,SG,visa,credit
322766,00-99,GENERALE DE BANQUE,BE,private label,debit
324000,00-99,TRUIST BANK,US,visa,credit
324556,00-99,ATTIJARIWAFA BANK,MA,diners club international,credit
325944,00-99,BPOST,BE,private label,debit
328084,00-99,BANCO BRADESCO,BR,visa,credit
328332,00-99,BANCO SANTANDER,BR,visa,credit
