BIN6,Ranges,Issuer,Country,Brand,Type
170019,00-99,MELLI BANK,IR,local brand,debit
170852,00-99,OUROCARD,BR,ourocard,credit
178100,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178101,00-99,China Eastern Airlines,CN,uatp,credit
178102,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178103,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178104,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178105,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178106,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178107,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178108,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178109,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178110,00-99,China Eastern Airlines,CN,uatp,credit
178111,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178112,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178113,00-99,China Eastern Airlines,CN,uatp,credit
178114,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178115,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178116,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178117,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178118,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178119,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178120,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178121,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178122,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178123,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178124,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178125,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178126,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178127,00-99,China Eastern Airlines,CN,uatp,credit
178128,00-99,China Eastern Airlines,CN,uatp,credit
178129,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178130,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178131,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178132,00-99,China Eastern Airlines,CN,uatp,credit
178133,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178134,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178135,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178136,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178137,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178138,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178139,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178140,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178141,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178142,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178143,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178144,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178145,00-99,China Eastern Airlines,CN,uatp,credit
178146,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178147,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178148,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178149,00-99,China Eastern Airlines,CN,uatp,credit
178150,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178151,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178152,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178153,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178154,00-99,China Eastern Airlines,CN,uatp,credit
178155,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178156,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178157,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178158,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178159,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178160,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178161,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178162,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178163,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178164,00-99,China Eastern Airlines,CN,uatp,credit
178165,00-99,China Eastern Airlines,CN,uatp,credit
178166,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178167,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178168,00-99,China Eastern Airlines,CN,uatp,credit
178169,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178170,00-99,China Eastern Airlines,CN,uatp,credit
178171,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
178172,00-99,CHINA EASTERN AIRLINES (MU),CN,uatp,credit
