BIN6,Ranges,Issuer,Country,Brand,Type
380000,00-99,Diners Club International,US,diners club,credit
380001,00-99,Diners Club International,US,diners club,credit
380002,00-99,Diners Club International,US,diners club,credit
380003,00-99,Diners Club International,US,diners club,credit
380004,00-99,Diners Club International,US,diners club,credit
380005,00-99,Diners Club International,US,diners club,credit
380006,00-99,Diners Club International,US,diners club,credit
380007,00-99,Diners Club International,US,diners club,credit
380008,00-99,Diners Club International,US,diners club,credit
380009,00-99,Diners Club International,US,diners club,credit
380010,00-99,,US,diners club international,credit
380011,00-99,,US,diners club international,credit
380012,00-99,,US,diners club international,credit
380013,00-99,,US,diners club international,credit
380014,00-99,,US,diners club international,credit
380015,00-99,,US,diners club international,credit
380016,00-99,,US,diners club international,credit
380017,00-99,,US,diners club international,credit
380018,00-99,,US,diners club international,credit
380019,00-99,,US,diners club international,credit
380020,00-99,,IT,diners club international,credit
380021,00-99,,US,diners club international,credit
380022,00-99,,US,diners club international,credit
380023,00-99,,US,diners club international,credit
380024,00-99,,US,diners club international,credit
380025,00-99,,US,diners club international,credit
380026,00-99,,US,diners club international,credit
380027,00-99,,US,diners club international,credit
380028,00-99,,US,diners club international,credit
380029,00-99,,US,diners club international,credit
380030,00-99,,US,diners club international,credit
380031,00-99,,US,diners club international,credit
380032,00-99,,US,diners club international,credit
380033,00-99,,US,diners club international,credit
380034,00-99,,US,diners club international,credit
380035,00-99,,US,diners club international,credit
380036,00-99,,US,diners club international,credit
380037,00-99,,US,diners club international,credit
380038,00-99,,US,diners club international,credit
380039,00-99,,IN,diners club international,credit
380040,00-99,,US,diners club international,credit
380041,00-99,,US,diners club international,credit
380042,00-99,,US,diners club international,credit
380043,00-99,,US,diners club international,credit
380044,00-99,,US,diners club international,credit
380045,00-99,,US,diners club international,credit
380046,00-99,,NL,diners club international,credit
380047,00-99,,US,diners club international,credit
380048,00-99,,US,diners club international,credit
380049,00-99,,US,diners club international,credit
380050,00-99,,US,diners club international,credit
380051,00-99,,US,diners club international,credit
380052,00-99,,US,diners club international,credit
380053,00-99,,US,diners club international,credit
380054,00-99,,RU,diners club international,credit
380055,00-99,,US,diners club international,credit
380056,00-99,,US,diners club international,credit
380057,00-99,,US,diners club international,credit
380058,00-99,,US,diners club international,credit
380059,00-99,,IN,diners club international,credit
380060,00-99,,US,diners club international,credit
380061,00-99,,US,diners club international,credit
380062,00-99,,US,diners club international,credit
380063,00-99,,US,diners club international,credit
380064,00-99,,US,diners club international,credit
380065,00-99,,US,diners club international,credit
380066,00-99,,US,diners club international,credit
380067,00-99,,US,diners club international,credit
380068,00-99,,US,diners club international,credit
380069,00-99,,US,diners club international,credit
380070,00-99,,US,diners club international,credit
380071,00-99,,US,diners club international,credit
380072,00-99,,US,diners club international,credit
380073,00-99,,US,diners club international,credit
380074,00-99,,US,diners club international,credit
380075,00-99,,US,diners club international,credit
380076,00-99,,US,diners club international,credit
380077,00-99,,US,diners club international,credit
380078,00-99,,US,diners club international,credit
380079,00-99,,US,diners club international,credit
380080,00-99,,US,diners club international,credit
380081,00-99,,US,diners club international,credit
380082,00-99,,US,diners club international,credit
380083,00-99,,US,diners club international,credit
380084,00-99,,US,diners club international,credit
380085,00-99,,US,diners club international,credit
380086,00-99,,US,diners club international,credit
380087,00-99,,US,diners club international,credit
380088,00-99,,US,diners club international,credit
380089,00-99,,IN,diners club international,credit
380090,00-99,,IN,diners club international,credit
380091,00-99,,IN,diners club international,credit
380092,00-99,,IN,diners club international,credit
380093,00-99,,IN,diners club international,credit
380094,00-99,,IN,diners club international,credit
380095,00-99,,IN,diners club international,credit
380096,00-99,,US,diners club international,credit
380097,00-99,,US,diners club international,credit
380098,00-99,,US,diners club international,credit
380099,00-99,,IN,diners club international,credit
380100,00-99,,US,diners club international,credit
380101,00-99,,US,diners club international,credit
380102,00-99,,US,diners club international,credit
380103,00-99,,US,diners club international,credit
380104,00-99,,US,diners club international,credit
380105,00-99,,US,diners club international,credit
380106,00-99,,US,diners club international,credit
380107,00-99,,US,diners club international,credit
