BIN6,Ranges,Issuer,Country,Brand,Type
770004,00-99,SYNCHRONY BANK,US,private label,credit
770008,00-99,SYNCHRONY BANK,US,private label,credit
770010,00-99,SYNCHRONY BANK,US,private label,credit
770011,00-99,SYNCHRONY BANK,US,private label,credit
770012,00-99,SYNCHRONY BANK,US,private label,credit
770013,00-99,SYNCHRONY BANK,US,private label,credit
770014,00-99,SYNCHRONY BANK,US,private label,credit
770015,00-99,SYNCHRONY BANK,US,private label,credit
770016,00-99,SYNCHRONY BANK,US,private label,credit
770018,00-99,SYNCHRONY BANK,US,private label,credit
770019,00-99,,US,private label,debit
770020,00-99,,US,private label,debit
770021,00-99,,US,private label,debit
770022,00-99,,US,private label,debit
770023,00-99,,US,private label,debit
770024,00-99,,US,private label,debit
770025,00-99,,US,private label,debit
770026,00-99,,US,private label,debit
770028,00-99,,US,private label,debit
770029,00-99,,US,private label,debit
770030,00-99,,US,private label,debit
770031,00-99,,US,private label,debit
770032,00-99,,US,private label,debit
770035,00-99,,US,private label,debit
770038,00-99,,US,private label,debit
770039,00-99,,US,private label,debit
770040,00-99,,US,private label,debit
770042,00-99,,US,private label,debit
770043,00-99,,US,private label,debit
770044,00-99,,US,private label,debit
770045,00-99,,US,private label,debit
770046,00-99,,US,private label,debit
770060,00-99,,US,private label,debit
770061,00-99,,US,private label,debit
770062,00-99,,US,private label,debit
770063,00-99,,US,private label,debit
770064,00-99,,US,private label,debit
770065,00-99,,US,private label,debit
770066,00-99,,US,private label,debit
770067,00-99,,US,private label,debit
770068,00-99,,US,private label,debit
770069,00-99,,US,private label,debit
770070,00-99,,US,private label,debit
770071,00-99,,US,private label,debit
770072,00-99,,US,private label,debit
770073,00-99,,US,private label,debit
770074,00-99,,US,private label,debit
770075,00-99,,US,private label,debit
770076,00-99,,US,private label,debit
770077,00-99,,US,private label,debit
770078,00-99,,US,private label,debit
770079,00-99,,US,private label,debit
770080,00-99,,US,private label,debit
770081,00-99,,US,private label,debit
770082,00-99,,US,private label,debit
770083,00-99,,US,private label,debit
770084,00-99,,US,private label,debit
770086,00-99,,US,private label,debit
770087,00-99,,US,private label,debit
770088,00-99,,US,private label,debit
770089,00-99,,US,private label,debit
770090,00-99,,US,private label,debit
770091,00-99,,US,private label,debit
770092,00-99,,US,private label,debit
770093,00-99,,US,private label,debit
770094,00-99,,US,private label,debit
770095,00-99,,US,private label,debit
770096,00-99,,US,private label,debit
770097,00-99,,US,private label,debit
770098,00-99,,US,private label,debit
770099,00-99,,US,private label,debit
770100,00-99,,US,private label,debit
770104,00-99,RAIFFEISEN BANK,BG,private label,debit
770107,00-99,,US,private label,debit
770110,00-99,,US,private label,debit
770111,00-99,,US,private label,debit
770114,00-99,,US,private label,debit
770116,00-99,,US,private label,debit
770117,00-99,,US,private label,debit
770118,00-99,,US,private label,debit
770120,00-99,,US,private label,debit
770121,00-99,,US,private label,debit
770122,00-99,,US,private label,debit
770123,00-99,,US,private label,debit
770125,00-99,,US,private label,debit
770127,00-99,,US,private label,debit
770128,00-99,,US,private label,debit
770131,00-99,,US,private label,debit
770132,00-99,,US,private label,debit
770133,00-99,,US,private label,debit
770135,00-99,,US,private label,debit
770136,00-99,,US,private label,debit
770137,00-99,,US,private label,debit
770139,00-99,,US,private label,debit
770140,00-99,,US,private label,debit
770141,00-99,,US,private label,debit
770142,00-99,,US,private label,debit
770143,00-99,,US,private label,debit
770144,00-99,,US,private label,debit
770145,00-99,,US,private label,debit
770147,00-99,,US,private label,debit
770148,00-99,,US,private label,debit
770151,00-99,,US,private label,debit
770152,00-99,,US,private label,debit
770153,00-99,,US,private label,debit
770156,00-99,,US,private label,debit
770158,00-99,,US,private label,debit
770163,00-99,,US,private label,debit
770164,00-99,,US,private label,debit
770166,00-99,,US,private label,debit
770167,00-99,,US,private label,debit
770168,00-99,,US,private label,debit
770169,00-99,,US,private label,debit
770170,00-99,,US,private label,debit
770171,00-99,,US,private label,debit
770173,00-99,,US,private label,debit
770174,00-99,,US,private label,debit
770176,00-99,,US,private label,debit
770182,00-99,,US,private label,debit
770185,00-99,,US,private label,debit
770186,00-99,,US,private label,debit
770187,00-99,,US,private label,debit
770188,00-99,,US,private label,debit
770189,00-99,,US,private label,debit
770190,00-99,,US,private label,debit
770191,00-99,,US,private label,debit
770192,00-99,,US,private label,debit
770193,00-99,,US,private label,debit
770194,00-99,,US,private label,debit
770195,00-99,,US,private label,debit
770196,00-99,,US,private label,debit
770198,00-99,,US,private label,debit
770199,00-99,,US,private label,debit
770201,00-99,,US,private label,debit
770202,00-99,,US,private label,debit
770203,00-99,,US,private label,debit
770204,00-99,,US,private label,debit
770209,00-99,,US,private label,debit
770210,00-99,,US,private label,debit
770211,00-99,,US,private label,debit
770213,00-99,,US,private label,debit
770215,00-99,,US,private label,debit
770216,00-99,,US,private label,debit
770217,00-99,,US,private label,debit
770221,00-99,,US,private label,debit
770224,00-99,,US,private label,debit
