BIN6,Ranges,Issuer,Country,Brand,Type
140000,00-99,Rupali Bank Ltd,BD,visa,debit
140210,00-99,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CN,private label,debit
140300,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140301,00-99,Yatra Online Ltd,IN,uatp,credit
140302,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140303,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140304,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140305,00-99,Yatra Online Ltd,IN,uatp,credit
140306,00-99,Yatra Online Ltd,IN,uatp,credit
140307,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140308,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140309,00-99,Yatra Online Ltd,IN,uatp,credit
140310,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140311,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140312,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140313,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140314,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140315,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140316,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140317,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140318,00-99,Yatra Online Ltd,IN,uatp,credit
140319,00-99,Yatra Online Ltd,IN,uatp,credit
140320,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140321,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140322,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140323,00-99,Yatra Online Ltd,IN,uatp,credit
140324,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140325,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140326,00-99,Yatra Online Ltd,IN,uatp,credit
140327,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140328,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140329,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140330,00-99,Yatra Online Ltd,IN,uatp,credit
140331,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140332,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140333,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140334,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140335,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140336,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140337,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140338,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140339,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140340,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140341,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140342,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140343,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140344,00-99,Yatra Online Ltd,IN,uatp,credit
140345,00-99,Yatra Online Ltd,IN,uatp,credit
140346,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140347,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140348,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140349,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140350,00-99,Yatra Online Ltd,IN,uatp,credit
140351,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140352,00-99,YATRA ONLINE LTD.,IN,uatp,credit
140353,00-99,Yatra Online Ltd,IN,uatp,credit
140354,00-99,Yatra Online Ltd,IN,uatp,credit
140355,00-99,YATRA ONLINE LTD.,IN,uatp,credit
