BIN6,Ranges,Issuer,Country,Brand,Type
540000,00-99,SAMBA FINANCIAL GROUP,SA,mastercard,credit
540001,00-99,BANCA SELLA SPA,IT,mastercard,debit
540002,00-99,COMENITY CAPITAL BANK,US,mastercard,credit
540003,00-99,NUMIA SPA,IT,mastercard,debit
540004,00-99,ERSTE BANK HUNGARY ZRT.,HU,mastercard,debit
540005,00-99,NUMIA SPA,IT,mastercard,debit
540006,00-99,FIRST NATIONAL BANK OF OMAHA,US,mastercard,credit
540007,00-99,CIMB,MY,mastercard,credit
540008,00-99,MASTERCARD - BILLING SERVICES TECHNICAL INTERFACE,US,mastercard,credit
540009,00-99,BANCO PROVINCIAL S.A. BANCO UNIVERSAL,VE,mastercard,credit
540010,00-99,RAIFFEISEN BANK LTD.,HU,mastercard,debit
540011,00-99,HSBC UK BANK PLC,GB,mastercard,credit
540012,00-99,OCBC,SG,mastercard,credit
540013,00-99,BANK HAPOALIM B.M.,IL,mastercard,debit
540014,00-99,SNB BANK NATIONAL ASSOCIATION,US,mastercard,debit
540015,00-99,MBNA AMERICA BANK N.A.,US,mastercard,credit
540016,00-99,WELLS FARGO BANK N.A.,US,mastercard,credit
540017,00-99,AL-ARAFAH ISLAMI BANK LTD.,BD,mastercard,debit
540018,00-99,HANG SENG BANK LTD.,HK,mastercard,credit
540019,00-99,BANCO DE VENEZUELA S.A.C.A.,VE,mastercard,credit
540020,00-99,BANCO SANTANDER CHILE,CL,mastercard,credit
540021,00-99,33 FINANCIAL SERVICES LTD.,HK,mastercard,debit
540022,00-99,SEB KORT BANK AB,NO,mastercard,credit
540023,00-99,JSC UKIO BANKAS,LT,mastercard,credit
540024,00-99,ING BANK A.S.,TR,mastercard,credit
540025,00-99,ING BANK A.S.,TR,mastercard,credit
540026,00-99,RAIFFEISENBANK (BULGARIA) AD,BG,mastercard,debit
540027,00-99,NUMIA SPA,IT,mastercard,debit
540028,00-99,NUMIA SPA,IT,mastercard,debit
540029,00-99,CENTRAL BANK OF KANSAS CITY,US,mastercard,debit
540030,00-99,SOCIETE GENERALE DE BANQUE AU LIBAN S.A.L.,LB,mastercard,credit
540031,00-99,BANCO DE OCCIDENTE S.A.,HN,mastercard,debit
540032,00-99,VTB BANK (PUBLIC JOINT-STOCK COMPANY),RU,mastercard,credit
540033,00-99,NUMIA SPA,IT,mastercard,debit
540034,00-99,STANDARD CHARTERED BANK (HONG KONG) LTD.,HK,mastercard,credit
540035,00-99,MOCSE FEDERAL CREDIT UNION,US,mastercard,credit
540036,00-99,TURKIYE GARANTI BANKASI A.S.,TR,mastercard,credit
540037,00-99,TURKIYE GARANTI BANKASI A.S.,TR,mastercard,credit
540038,00-99,CIMB,US,mastercard,credit
540039,00-99,PROMOCION Y OPERACION S.A. DE C.V.,PR,mastercard,credit
540040,00-99,TMB BANK PUBLIC COMPANY LTD.,TH,mastercard,credit
540041,00-99,HSBC,MY,mastercard,credit
540042,00-99,DBS BANK LTD.,SG,mastercard,credit
540043,00-99,TARGOBANK AG & CO. KGAA,DE,mastercard,credit
