BIN6,Ranges,Issuer,Country,Brand,Type
430000,00-99,INTL HDQTRS-CENTER OWNED,GB,visa,debit
430001,00-99,INTL HDQTRS-CENTER OWNED,GB,visa,credit
430002,00-99,INTL HDQTRS-CENTER OWNED,FR,visa,debit
430003,00-99,Visa,FR,visa,credit
430004,00-99,INTL HDQTRS-CENTER OWNED,SE,visa,debit
430005,00-99,INTL HDQTRS-CENTER OWNED,US,visa,credit
430006,00-99,LATIN AMERICA AND CARIBBEAN REGION,US,visa,credit
430007,00-99,Visa,BS,visa,credit
430008,00-99,Visa,US,visa,credit
430009,00-99,Visa,US,visa,credit
430010,00-99,GRANT COUNTY BANK,US,visa,debit
430011,00-99,SPOKANE TEACHERS CREDIT UNION,US,visa,debit
430012,00-99,U.S. BANK N.A.,US,visa,credit
430013,00-99,WILMINGTON POLICE & FIRE FEDERAL CREDIT UNION,US,visa,debit
430014,00-99,FARMERS-MERCHANTS BANK & TRUST COMPANY,US,visa,debit
430015,00-99,WESTAMERICA BANK,US,visa,credit
430016,00-99,SIERRA CENTRAL CREDIT UNION,US,visa,credit
430017,00-99,Visa,US,visa,credit
430018,00-99,KINECTA FEDERAL CREDIT UNION,US,visa,debit
430019,00-99,DEL NORTE CREDIT UNION,US,visa,credit
430020,00-99,NORTHWEST BANK,US,visa,debit
430021,00-99,Visa,US,visa,credit
430022,00-99,TRUE COMMUNITY CREDIT UNION,US,visa,credit
430023,00-99,WORLD%27S FOREMOST,US,visa,credit
430024,00-99,Visa,US,visa,credit
430025,00-99,Visa,US,visa,credit
430026,00-99,FIRST DAKOTA NATIONAL BANK,US,visa,credit
430027,00-99,ICBA BANCARD INC.,US,visa,credit
430028,00-99,NCBA BANK UGANDA LTD.,UG,visa,credit
430029,00-99,FIRST KANSAS BANK,US,visa,debit
430030,00-99,AXIS BANK LTD.,IN,visa,debit
430031,00-99,GRANITE FEDERAL CREDIT UNION,US,visa,debit
430032,00-99,THE KANSAS STATE BANK,US,visa,debit
430033,00-99,UNION BANK OF INDIA,IN,visa,debit
430034,00-99,ICBA BANCARD INC.,US,visa,debit
430035,00-99,Visa,US,visa,credit
430036,00-99,Visa,US,visa,credit
430037,00-99,,US,visa,credit
430038,00-99,NORTHWEST PLUS CREDIT UNION,US,visa,debit
